poem_name, poem_content ,poet_name ,category
One Lonely Afternoon ,Since the fern can't go to the sink for a drink of|water| I graciously submit myself to the task| bringing two|glasses from the sink.|And so we sit| the fern and I| sipping water together.|Of course I'm more complex than a fern| full of deep|thoughts as I am. But I lay this aside for the easy company|of an afternoon friendship.|I don't mind sipping water with a fern| even though||had I my druthers| I'd be speeding through the sky for|Stockholm| sipping a bloody mary with a wedge of lime.|And so we sit one lonely afternoon sipping water|together. The fern looking out of its fronds| and I| looking|out of mine . . .,Edson Russell,lonely
Are You Lonely Tonight? ,Are you lonely tonight|Because your heart was broken?|Are you lonely tonight||Shedding tears from all the emotion?|Please don't be shy.|Just tell me if its okay for me to dropp by.|I'll be the man you've always dreamed of.|I'll hold you close to me and show you love.|I'll help you through your pain and sorrow.|And after you wake up tomorrow||We'll take a walk near the ocean shore.|As time goes by| I'll love you more and more.,Fleischer Jeff,lonely
O So Lonely ,O So Lonely|Are the days gone by.|When others enter your life|Then you push them by.|O So Lonely|When you were in control.|To love them or leave them|You were ever so bold.|O So Lonely|While you sit alone.|No one is there|To make your house a home.|O So Lonely|After all the hearts you break.|Did you ever think it was you|Who you'd really forsake?|O So Lonely|When life was just a dare.|You didn't take time to love|You didn't try to care.|O So Lonely|Have you learned the rule?|That its not just about you|But it does take two.|O So Lonely|Why sit and contemplate?|While others enjoy life|Its never too late.,Weir Cecelia,lonely
On Tears Lonely Lonely Cry ,On tears lonely lonely cry|You always shade on my mind|Even you had flied away|Left me alone in the night|On tears lonely lonely cry|No one can take that place|My first love you have to know|You’ve never gone in my heart|Oh why| oh why|I can’t forget your kiss goodbye|I want crying to you|Bring this pain from my life|On tears lonely lonely cry|My first love you have to know|The memory was closed|In my broken lonely heart,Sudibyo Maria,lonely
The Lonely God ,So Eden was deserted| and at eve|Into the quiet place God came to grieve.|His face was sad| His hands hung slackly down|Along his robe; too sorrowful to frown|He paced along the grassy paths and through|The silent trees| and where the flowers grew|Tended by Adam. All the birds had gone|Out to the world| and singing was not one|To cheer the lonely God out of His grief --|The silence broken only when a leaf|Tapt lightly on a leaf| or when the wind||Slow-handed| swayed the bushes to its mind.|And so along the base of a round hill||Rolling in fern| He bent His way until|He neared the little hut which Adam made||And saw its dusky rooftree overlaid|With greenest leaves. Here Adam and his spouse|Were wont to nestle in their little house|Snug at the dew-time: here He| standing sad||Sighed with the wind| nor any pleasure had|In heavenly knowledge| for His darlings twain|Had gone from Him to learn the feel of pain||And what was meant by sorrow and despair| --|Drear knowledge for a Father to prepare.|There he looked sadly on the little place;|A beehive round it was| without a trace|Of occupant or owner; standing dim|Among the gloomy trees it seemed to Him|A final desolation| the last word|Wherewith the lips of silence had been stirred.|Chaste and remote| so tiny and so shy||So new withal| so lost to any eye||So pac't of memories all innocent|Of days and nights that in it had been spent|In blithe communion| Adam| Eve| and He||Afar from Heaven and its gaudery;|And now no more! He still must be the God|But not the friend; a Father with a rod|Whose voice was fear| whose countenance a threat||Whose coming terror| and whose going wet|With penitential tears; not evermore|Would they run forth to meet Him as before|With careless laughter| striving each to be|First to His hand and dancing in their glee|To see Him coming -- they would hide instead|At His approach| or stand and hang the head||Speaking in whispers| and would learn to pray|Instead of asking| 'Father| if we may.'|Never again to Eden would He haste|At cool of evening| when the sun had paced|Back from the tree-tops| slanting from the rim|Of a low cloud| what time the twilight dim|Knit tree to tree in shadow| gathering slow|Till all had met and vanished in the flow|Of dusky silence| and a brooding star|Stared at the growing darkness from afar||While haply now and then some nested bird|Would lift upon the air a sleepy word|Most musical| or swing its airy bed|To the high moon that drifted overhead.|'Twas good to quit at evening His great throne||To lay His crown aside| and all alone|Down through the quiet air to stoop and glide|Unkenned by angels: silently to hide|In the green fields| by dappled shades| where brooks|Through leafy solitudes and quiet nooks|Flowed far from heavenly majesty and pride||From light astounding and the wheeling tide|Of roaring stars. Thus does it ever seem|Good to the best to stay aside and dream|In narrow places| where the hand can feel|Something beside| and know that it is real.|His angels! silly creatures who could sing|And sing again| and delicately fling|The smoky censer| bow and stand aside|All mute in adoration: thronging wide||Till nowhere could He look but soon He saw|An angel bending humbly to the law|Mechanic; knowing nothing more of pain||Than when they were forbid to sing again||Or swing anew the censer| or bow down|In humble adoration of His frown.|This was the thought in Eden as He trod --|. . . It is a lonely thing to be a God.|So long! afar through Time He bent His mind||For the beginning| which He could not find||Through endless centuries and backwards still|Endless forever| till His 'stonied will|Halted in circles| dizzied in the swing|Of mazy nothingness. -- His mind could bring|Not to subjection| grip or hold the theme|Whose wide horizon melted like a dream|To thinnest edges. Infinite behind|The piling centuries were trodden blind|In gulfs chaotic -- so He could not see|When He was not who always had To Be.|Not even godly fortitude can stare|Into Eternity| nor easy bear|The insolent vacuity of Time:|It is too much| the mind can never climb|Up to its meaning| for| without an end||Without beginning| plan| or scope| or trend|To point a path| there nothing is to hold|And steady surmise: so the mind is rolled|And swayed and drowned in dull Immensity.|Eternity outfaces even Me|With its indifference| and the fruitless year|Would swing as fruitless were I never there.|And so for ever| day and night the same||Years flying swiftly nowhere| like a game|Played random by a madman| without end|Or any reasoned object but to spend|What is unspendable -- Eternal Woe!|O Weariness of Time that fast or slow|Goes never further| never has in view|An ending to the thing it seeks to do||And so does nothing: merely ebb and flow||From nowhere into nowhere| touching so|The shores of many stars and passing on||Careless of what may come or what has gone.|O solitude unspeakable! to be|For ever with oneself! never see|An equal face| or feel an equal hand||To sit in state and issue reprimand||Admonishment or glory| and to smile|Disdaining what has happenèd the while!|O to be breast to breast against a foe!|Against a friend! to strive and not to know|The laboured outcome: love nor be aware|How much the other loved| and greatly care|With passion for that happy love or hate||Nor know what joy or dole was hid in fate.|For I have ranged the spacy width and gone|Swift north and south| striving to look upon|An ending somewhere. Many days I sped|Hard to the west| a thousand years I fled|Eastwards in fury| but I could not find|The fringes of the Infinite. Behind|And yet behind| and ever at the end|Came new beginnings| paths that did not wend|To anywhere were there: and ever vast|And vaster spaces opened -- till at last|Dizzied with distance| thrilling to a pain|Unnameable| I turned to Heaven again.|And there My angels were prepared to fling|The cloudy incense| there prepared to sing|My praise and glory -- O| in fury I|Then roared them senseless| then threw down the sky|And stamped upon it| buffeted a star|With my great fist| and flung the sun afar:|Shouted My anger till the mighty sound|Rung to the width| frighting the furthest bound|And scope of hearing: tumult vaster still||Throning the echo| dinned My ears| until|I fled in silence| seeking out a place|To hide Me from the very thought of Space.|And so| He thought| in Mine own Image I|Have made a man| remote from Heaven high|And all its humble angels: I have poured|My essence in his nostrils: I have cored|His heart with My own spirit; part of Me||His mind with laboured growth unceasingly|Must strive to equal Mine; must ever grow|By virtue of My essence till he know|Both good and evil through the solemn test|Of sin and retribution| till| with zest||He feels his godhead| soars to challenge Me|In Mine own Heaven for supremacy.|Through savage beasts and still more savage clay||Invincible| I bid him fight a way|To greater battles| crawling through defeat|Into defeat again: ordained to meet|Disaster in disaster; prone to fall||I prick him with My memory to call|Defiance at his victor and arise|With anguished fury to his greater size|Through tribulation| terror| and despair.|Astounded| he must fight to higher air||Climb battle into battle till he be|Confronted with a flaming sword and Me.|So growing age by age to greater strength||To greater beauty| skill and deep intent:|With wisdom wrung from pain| with energy|Nourished in sin and sorrow| he will be|Strong| pure and proud an enemy to meet||Tremendous on a battle-field| or sweet|To walk by as friend with candid mind.|--Dear enemy or friend so hard to find||I yet shall find you| yet shall put My breast|In enmity or love against your breast:|Shall smite or clasp with equal ecstasy|The enemy or friend who grows to Me.|The topmost blossom of his growing I|Shall take unto Me| cherish and lift high|Beside myself upon My holy throne: --|It is not good for God to be alone.|The perfect woman of his perfect race|Shall sit beside Me in the highest place|And be my Goddess| Queen| Companion| Wife||The rounder of My majesty| the life|Of My ambition. She will smile to see|Me bending down to worship at her knee|Who never bent before| and she will say||'Dear God| who was it taught Thee how to pray?"|And through eternity| adown the slope|Of never-ending time| compact of hope||Of zest and young enjoyment| I and She|Will walk together| sowing jollity|Among the raving stars| and laughter through|The vacancies of Heaven| till the blue|Vast amplitudes of space lift up a song||The echo of our presence| rolled along|And ever rolling where the planets sing|The majesty and glory of the King.|Then conquered| thou| Eternity| shalt lie|Under My hand as little as a fly.|I am the Master: I the mighty God|And you My workshop. Your pavilions trod|By Me and Mine shall never cease to be||For you are but the magnitude of Me||The width of My extension| the surround|Of My dense splendour. Rolling| rolling round||To steeped infinity| and out beyond|My own strong comprehension| you are bond|And servile to My doings. Let you swing|More wide and ever wide| you do but fling|Around the instant Me| and measure still|The breadth and proportion of My Will.|Then stooping to the hut -- a beehive round --|God entered in and saw upon the ground|The dusty garland| Adam| (learned to weave)|Had loving placed upon the head of Eve|Before the terror came| when joyous they|Could look for God at closing of the day|Profound and happy. So the Mighty Guest|Rent| took| and placed the blossoms in His breast.|'This|' said He gently| 'I shall show My queen|When she hath grown to Me in space serene||And say "'twas worn by Eve."' So| smiling fair||He spread abroad His wings upon the air.,Stephens James,lonely
The Strength Of The Lonely ,(What the Mendicant Said )|The moon's a monk| unmated||Who walks his cell| the sky.|His strength is that of heaven-vowed men|Who all life's flames defy.|They turn to stars or shadows||They go like snow or dew—|Leaving behind no sorrow—|Only the arching blue.,Lindsay Vachel,lonely
A Lonely Tear ,A lonely tear falls down|A smile turns to frown|Trickles down the cheek|Does not make you weak|A lonely tear escapes|A lifetime of mistakes|A sad and lonely heart|Others broke apart|A lonely tear is dried|So many nights it cried|A friend reached out their hand|And tried to understand|The lonely tear is gone|Life will carry on|With love from a friend|The lonely tears will end,Dugan Megan,lonely
My Sweet| Lonely| Little| World ,Come| step|into my sweet| lonely little world!|Hand in hand||We shall run across the cliffs|against which my emotions crash||Fly through the capricious clouds|Through which my wild fancies fly||Swim in the deep waters of the sea|in which lie buried the secrets of my heart||Sing and dance|to the music of the swaying plants and the whistling winds||and when weary and hungry||eat the Forbidden Fruit.........|But perhaps you would wish to run away||Perhaps you have your own sweet| lonely little world......|But first||Come| step|into my sweet| lonely little world!,Chatterjee Jasbir,lonely
Lonely Cowboy ,It's been another long day|in the saddle| and|my back and my butt|both hurt.|Cattle millin' and|dust a'rising||ropin' and draggin' and brandin'|make a long day's work.|So the campfire looks good||with coffee bubblin' away||and the food| and my blanket|are a'callin' to me.|But when I lie down||before I close my eyes||I long for home fires||and my bed| and you.,Treat Scarlett,lonely
I Am Lonely ,I am lonely everyday|as I watch the world|pass my way.|I am lonely in my room|as I stare at the walls|and been thinking of you.|I am lonely outside|as I see you|passing me by.|I am lonely inside|as I see that day|you had died.,Braatz Chantel,lonely
Lonely Burial ,There were not many at that lonely place||Where two scourged hills met in a little plain.|The wind cried loud in gusts| then low again.|Three pines strained darkly| runners in a race|Unseen by any. Toward the further woods|A dim harsh noise of voices rose and ceased.|-- We were most silent in those solitudes --|Then| sudden as a flame| the black-robed priest||The clotted earth piled roughly up about|The hacked red oblong of the new-made thing||Short words in swordlike Latin -- and a rout|Of dreams most impotent| unwearying.|Then| like a blind door shut on a carouse||The terrible bareness of the soul's last house.,Benet Vincent,lonely
Love Is Never Lonely ,I want to show you rainbows|and feel your soft touch on my cheek|when they bring tears to my eyes.|I want to whisper my love to you in the morning|when everything and everyone sleeps|for silence will not harbor lies.|I want to hear your voice when I'm not with you|as if it were my own thoughts|and love was never alone.|I want to see in your eyes the truth inside me|so that everyday that I question|I can look at you and know.|I want to take your loneliness|and paint it over with bright memories|till only love is in view.|Should the stars appear for just one night every thousand years|I would wait a lonely eternity|to see them with just you.,Sage TP,lonely
The Lonely Woman ,WHERE the ironbarks are hanging leaves disconsolate and pale||Where the wild vines o’er the ranges their spilt cream of blossom trail||By the door of the bark humpey| by the rotting blood-wood gates||On the river-bound selection| there a lonely woman waits||Waits and watches gilded sunrise glow behind the mountain peak||Hears the water hens’ shrill piping| in the rushes by the creek||And by the sullen stormy sunsets| when the anxious cattle call||Sees the everlasting gum-trees closing round her like a wall.|With the hunger of her bosom notes the wild birds seek their mates||All alone and heavy-hearted| there the lonely woman waits.|Where the tall brown city buildings loom against a cloud-flecked sky||Where along the curving tramlines brightly varnished cars rush by||Where the call of petty traders echoes down the dusty street||And forever comes the beating of the many passing feet||Where the bamboo reeds are whispering by the green park’s iron gates||By the muslin-curtained window| there a lonely woman waits.|Where the white caps lash the sea-wall| and the great waves thunder by||Where the grey rains sweep the beaches underneath a sodden sky||Where the swift-winged gull flies landward| and the fisher bides at home||When the long Pacific reaches are a seething stretch of foam||Where the empty boat drifts seawards| by the ocean’s sand-flanked gates||In the weather-boarded cottage| there a lonely woman waits.|Where the river boats are calling| where the railway engine shrieks||Or where only wild bird liltings echo from the reedy creeks||Where the grey waves grieve to landward| and a wet wind beats the seas||Or where pearl-white moths flit slowly through the dropping wattle-trees||By the high verandah pillars| by the rotting bloodwood gates||Crowded town or dreary seaboard| everywhere some woman waits!,Forrest Mabel,lonely
The Lonely Death ,In the cold I will rise| I will bathe|In waters of ice; myself|Will shiver| and shrive myself||Alone in the dawn| and anoint|Forehead and feet and hands;|I will shutter the windows from light||I will place in their sockets the four|Tall candles and set them aflame|In the grey of the dawn; and myself|Will lay myself straight in my bed||And draw the sheet under my chin.,Crapsey Adelaide,lonely
Every Lonely Soul ,Cry at midnight||Look at the falling snow;|Jesus is a cool baby|Who wants everyone|To believe in love.|I’m going to kiss|The December 25th sunrise||I know that beauty|Will save every lonely soul!,Hamilton Uriah,lonely
Lonely In The Dark ,I am living in the darkness|I feel so scared|I feel unsafe|I dont know what to do|I cry everyday and night|And I feel that I want to cry more and more|Non stop|It really dark here|I hear my mom voice|But I cant reach her|And I hear my friends calling me|But they cant hear me|I dont know what to do|I start screaming and screaming|But suddenly their voices r gone|They leave me all alone in the darkness|I start crying again and again|And suddenly|A light so weak appears| shivering in the dark|I didnt know what it was|I feel so endangered|I saw an extended hand|That wants to grab me towards its unrevealed body|I ran away|I hear a male vioce|Calling my name|Telling me that he wants to save me|I turn and look at him|I thought he was just like an angel|Just like an angel in a human body|With flesh and blood|He took my hand|To show me the way|When I was out of the dark|He gave me a butterfly|He gave me a butterfly|And with it|He filled my heart with hope|Gave me a reason to never give up|Just knowing that some one||Somewhere|Actually cared about me||Loved me|That will give me all the strength i need to live|To survive,black nouri,lonely
In A Lonely Place ,In a lonely place||I encountered a sage|Who sat| all still||Regarding a newspaper.|He accosted me:|'Sir| what is this? '|Then I saw that I was greater||Aye| greater than this sage.|I answered him at once||'Old| old man| it is the wisdom of the age.'|The sage looked upon me with admiration.,Crane Stephen,lonely
A House Called Lonely (A Trilogy In Three Parts) ,There is a street in every town that owns a house|called lonely. Then when your just passing by you might|just say| 'if only.|If only could mean a life time of thoughts but it does'nt cure|a lonely house and all its faults.|Boarded up windows and tiles gone from the roof| graffiti|painted by a rebelious youth.|Such a lonely house and an oh such a tired one||one that has lost all it's fun.|Stairs and rafters all gone to pot all that is left|is wood worm and dry rot.|No children playing in the garden| it's just a house condemend|by the council without no pardon. Poor lonely house someones|forgotton dream| now describing lifes social scene.|This lonely house stands in the way because their building|a By Pass or a new motorway.|The house called lonely could be any where| in the town| the|country or city square.|Even in your street there's a house called lonely just waiting|for you to say 'if only',spencer sylvia,lonely
Sad And Lonely ,As I started sipping|my daily lovely coffee|A race of memories just began in my mind|of old days| the hard and the easy|And looking at myself now with a tear in my eye|just to find myself sad and lonely|And as I walk down that antique street|where my old little house was meant to be|It feels hard to breathe just to know|that I am out of it now and maybe|maybe forever I would be like a rover|that tells stories of how sad I am and lonely|Those stairs I used to go up and down|everyday in fast rhythm used to be happy|In my room I used to stay most of the time|never thought that i would live in a tragedy|But words are not useful now|for sad I am and lonely|Though poverty was my company long ago|but riches couldn't bring back honey|The honey I saw in my sweet old days|Days of the poverty and agony|Believe me my friend riches won't give you a thing|But to make you sad and lonely,Shemaly Taher,lonely
My Lonely Heart ,My lonely heart|Holds much despair|Emptiness|Emptiness|Is often found there|My pillow is filled|With tears and fears|Though we've been married|For eighteen years|My lonely heart|Cries night and day|My husband's love|Seems miles away|Though we're together|Day by Day|My lonely heart|Cries night and days|Is there any|Consolation|For my lonely heart?,Jackson Marie,lonely
Lonely You; Lonely I ,You say you are lonely.|Are you? Come see MY solitary world.|I am lonely:|Not the ‘generally feeling lonely’ feeling –|You know| the ‘I need a cuddle 'cos I’m feeling a bit lonely today’ feeling;|Or the ‘I’m on my own today so I think I need to call up a friend’ feeling.|No| I mean the terror and depression of cold isolation;|That Black Hole of raw solitude;|The nadir you arrive at after a steady spiral downwards| inwards.|And suffocation by the blanket of social invisibility|Which insidiously greyed out your psyche without your knowing.|You know| when you alight on the platform of endless alcoholic days;|When you’re sprawled vacant and naked in the corner of your filthy room||Oblivious to the scurrying life outside –|That which doesn’t acknowledge your existence anyway:|That’s lonely.|Copyright © Mark R Slaughter 2009,Slaughter R,lonely
I Know Some Lonely Houses Off The Road ,289|I know some lonely Houses off the Road|A Robber'd like the look of—|Wooden barred||And Windows hanging low||Inviting to—|A Portico||Where two could creep—|One—hand the Tools—|The other peep—|To make sure All's Asleep—|Old fashioned eyes—|Not easy to surprise!|How orderly the Kitchen'd look| by night||With just a Clock—|But they could gag the Tick—|And Mice won't bark—|And so the Walls—don't tell—|None—will—|A pair of Spectacles ajar just stir—|An Almanac's aware—|Was it the Mat—winked||Or a Nervous Star?|The Moon—slides down the stair||To see who's there!|There's plunder—where—|Tankard| or Spoon—|Earring—or Stone—|A Watch—Some Ancient Brooch|To match the Grandmama—|Staid sleeping—there—|Day—ratt les—too|Stealth's—slow—|T he Sun has got as far|As the third Sycamore—|Screams Chanticleer|"Who's there"?|And Echoes—Trains away||Sneer—"Where"!|While the old Couple| just astir||Fancy the Sunrise—left the door ajar!,Dickinson Emily,lonely
Above The Lonely Market Dawn ,Above the lonely market dawn|The sun begins to rise||And slowly makes its way into|The glowing ember skies||Amidst the clouds of burning gold|And scarlet which now pass||Across the heavens high above|My sadness stays alas.|And now I stand there all alone|And watch the morning light||Creep over all the rooftops and|Consume the dead of night||It shines upon the sleeping town|Where calmness fills the air||And lights the dark and empty stalls|With metal frames so bare.|The pigeons rest on rooftops while|The litter's strewn around||The remnants of the day before|Lie restless on the ground||The paper cups and cans do roll|Upon the breeze that blows||And come to rest against a wall|Behind those empty rows.|So still the rising morning now|The shadows long and dark||The cold and empty marketplace|Deserted and so stark||I walk alone with heavy heart|Beyond the barren square||And look towards the church ahead|Its loneliness I share.,BLAKEMORE ANDREW,lonely
The Lonely ,This thing that they call love|That so many are in search of|What some they may find and some lose in time|Only the lonely dream of|The lonely dream only of it one day in their lives|When that day comes they won't toss it aside|The lonely they know and will cherish so|For only the lonely get it right|Love of so many descriptions|The art every part of the heart|Love when it comes to the lonely of one|They will hold on and believe not let it fall apart|I know that since I have found you|Somehow you reached out and found me|I know cause I know where it is I have been|The lonely has allowed me to believe|This thing that they do call love|This thing that so many are in search of|This thing that only the lonely they dream|I know| I once dreamed of your touch.|copyright 2004 Bill Simmons|aka BillWilliamStar@aol.com,Simmons Bill,lonely
A Lonely Heart In A Thunderstorm ,A lonely heart sets the table but is she a Milly||a Betty or a Mabel. Tea| coffee| cakes and ale|but outside there blows a gale. Sash cord windows|rattling like chains| thunder and lighting tormenting her|brains. A frail old lady who always lays up for tea but no|one comes not even her family. As the rain pours down she|gives a little frown as she looks at a photo in her wedding|gown. A picture of love on her wedding day| a day she|never wanted to go away.Now all that's forgotton as the|clouds roll together| will her lonely heart stand up to this|gale force weather. She draws the curtains and says|goodnight to the storm then sits by the fire where its|cosy and warm.|No visitors tonight she says to the cat who lay curled up|on the fireside mat. Again she views her wedding day and|asks the Lord to show her the way.Then she holds the cat|to her lonely heart so that they will never be apart. The dear|old lady died that night and the cat now sits on her burial site.,spencer sylvia,lonely
Like Crusoe| Walking By The Lonely Strand ,Like Crusoe| walking by the lonely strand|And seeing a human footprint on the sand||Have I this day been startled| finding here||Set in brown mould| and delicately clear||Spring's footprint--the first crocus of the year!|O sweet invasion! Farewell solitude!|Soon shall wild creatures of the field and wood|Flock from all sides with much ado and stir||And make of me most willing prisoner!,Aldrich Bailey,lonely
A Lonely Horse ,I'm out in the field|Roaming the vast prairie|Waiting for somebody|To come and visit me|Occasionally I'll see|A car or truck around|I'm stand here just waiting|In my deserted prairie ground|I'm quite a handsome fellow|Just look here for yourself|Sometimes I feel my owner|Has put me on the shelf|I'm good for many things|I could win as a show horse|If someone only entered me|Into a show of course|But pretty soon I know|The kids will come on by|Visit me and ride me|And on my back they'll fly!,Lott Marilyn,lonely
A Young Mother Waits Lonely ,A young mother waits lonely||But with war it didn’t start.|It began with a with a duty||To country and heart.|With her husband at war||Things are not as they seem.|Lonely days are without end||Like its some kind of dream.|It seems even living||Gets more difficult each day.|And in each daily letter.|Things are harder to say.|No more grand parades||No excitement to bring.|Even so if there were||It wouldn’t change a thing.|Alone with no husband||No family and no friends||Just another young mother||Alone in the end.|1/31/05,Bryson Gary,lonely
Lonely ,I stand alone in darkness||A rose held in my hand||The wind rustles in the trees||As it sweeps across the land.|I wait for your arrival||I hope it will be soon||I want to dance with you again||By the light of the silver moon.|And though you do not miss me||I hope you won’t forget||That the little girl you left alone||Will grow stronger yet.|I hear your footsteps on the ground||Have you come back for me?|You take the rose from my hands||And throw it in the sea.|You sneer at me for waiting||What a pathetic thing to do||“How could you believe| ” you hiss at me||“I’d love a thing like you? ”,Smith Chloe,lonely
Lonely Eyes ,It doesn't matter how hard i try|Even though i'll be dyin inside|Look deep within and tell me what you find|I just can't seem to hide|These Lonely Eyes|They say nothing's harder than life|And those who live well are welcome in the sky|There's something wrong and i wanna take flight|I just can't seem to hide|These Lonely Eyes|Now that you're Gone Away i think i wanna die|I know you can see it| I'm surrounded by light|I tried to tell you i'm fine but that's a lie|I just can't seem to hide|These Lonely Eyes|As i see happy people go by|I'm so confused here| sometimes i wanna cry|I'm just a lonely soul lurkin in the lonely night|And i just can't seem to hide|These Lonely Eyes,Lopes Leo,lonely
The Lonely Poet ,She sat alone staring into the dark|Into the blue tinged light|Coming from that magical box|In front of her|Poem submitted-|Comments read-|Messages sent-|Poems submitted-|Comments read-|Messages sent-|On and on it went|In the dark|Through the night|To daylight|Had she known...|Would she have cared?|That the feedback she received|From a soul provider|Sat just in front of her|And glowed deviously|With a soft blue light|The computers had won the war...|Three days before...,Daffodil Dee,lonely
