,Title,Poem,Poet,Tags
11,"
                    Medlars and Sorb-Apples
                ","
I love you, rotten,
Delicious rottenness.
 
I love to suck you out from your skins
So brown and soft and coming suave,
So morbid, as the Italians say.
 
What a rare, powerful, reminiscent flavour
Comes out of your falling through the stages of decay:
Stream within stream.
 
Something of the same flavour as Syracusan muscat wine
Or vulgar Marsala.
 
Though even the word Marsala will smack of preciosity
Soon in the pussy-foot West.
 
What is it?
What is it, in the grape turning raisin,
In the medlar, in the sorb-apple,
Wineskins of brown morbidity,
Autumnal excrementa;
What is it that reminds us of white gods?
 
Gods nude as blanched nut-kernels,
Strangely, half-sinisterly flesh-fragrant
As if with sweat,
And drenched with mystery.
 
Sorb-apples, medlars with dead crowns.
I say, wonderful are the hellish experiences,
Orphic, delicate
Dionysos of the Underworld.
 
A kiss, and a vivid spasm of farewell, a moment’s orgasm of rupture,
Then along the damp road alone, till the next turning.
And there, a new partner, a new parting, a new unfusing into twain,
A new gasp of further isolation,
A new intoxication of loneliness, among decaying, frost-cold leaves.
 
Going down the strange lanes of hell, more and more intensely alone,
The fibres of the heart parting one after the other
And yet the soul continuing, naked-footed, ever more vividly embodied
Like a flame blown whiter and whiter
In a deeper and deeper darkness,
Ever more exquisite, distilled in separation.
 
So, in the strange retorts of medlars and sorb-apples
The distilled essence of hell.
The exquisite odour of leave-taking. Jamque vale!
Orpheus, and the winding, leaf-clogged, silent lanes of hell.
 
Each soul departing with its own isolation.
Strangest of all strange companions,
And best.
 
Medlars, sorb-apples
More than sweet
Flux of autumn
Sucked out of your empty bladders
And sipped down, perhaps, with a sip of Marsala
So that the rambling, sky-dropped grape can add its music to yours,
Orphic farewell, and farewell, and farewell
And the ego sum of Dionysos
The sono io of perfect drunkenness
Intoxication of final loneliness.
                                                                                 San Gervasio
 
",D. H. Lawrence,"Love,Desire,Activities,Eating & Drinking,Mythology & Folklore,Greek & Roman Mythology"
12,"
                    Purple Anemones
                ","
Who gave us flowers?Heaven? The white God?
 
Nonsense!
Up out of hell,
From Hades;
Infernal Dis!
 Jesus the god of flowers—?
Not he.Or sun-bright Apollo, him so musical?
Him neither.
 Who then?Say who.
Say it—and it is Pluto,
Dis
The dark one
Proserpine’s master.
 Who contradicts—?
 
When she broke forth from below,
Flowers came, hell-hounds on her heels.
Dis, the dark, the jealous god, the husband,
Flower-sumptuous-blooded.
 Go then, he said.
And in Sicily, on the meadows of Enna,
She thought she had left him;
But opened around her purple anemones,
Caverns,
Little hells of color, caves of darkness,
Hell, risen in pursuit of her; royal, sumptuous
Pit-falls.
 
All at her feet
Hell opening;
At her white ankles
Hell rearing its husband-splendid, serpent heads,
Hell-purple, to get at her—Why did he let her go?
So he could track her down again, white victim.
 
Ah mastery!
Hell’s husband-blossoms
Out on earth again.
 
Look out, Persephone!
You, Madame Ceres, mind yourself, the enemy is upon you.
About your feet spontaneous aconite,
Hell-glamorous, and purple husband-tyranny
Enveloping your late-enfranchised plains.
 
You thought your daughter had escaped?
No more stockings to darn for the flower-roots, down in hell?
But ah my dear!
 
Aha, the stripe-cheeked whelps, whippet-slim crocuses,At ’em, boys, at ’em!Ho golden-spaniel, sweet alert narcissus,Smell ’em, smell ’em out!
Those two enfranchised women.
 
Somebody is coming!Oho there!
 
Dark blue anemones!
Hell is up!
Hell on earth, and Dis within the depths!
 Run, Persephone, he is after you already.
 Why did he let her go?
To track her down;
All the sport of summer and spring, and flowers snapping
               at her ankles and catching her by the hair!
Poor Persephone and her rights for women.
 Husband-snared hell-queen,It is spring.
 
It is spring,
And pomp of husband-strategy on earth.
 Ceres, kiss your girl, you think you’ve got her back.The bit of husband-tilth she is,Persephone!
 
Poor mothers-in-law!
They are always sold.
 
It is spring.
 
                                                                                                     Taormina
 
",D. H. Lawrence,"Living,Marriage & Companionship,Nature,Trees & Flowers,Social Commentaries,Gender & Sexuality,Mythology & Folklore,Greek & Roman Mythology"
13,"
                    Sicilian Cyclamens
                ","
When he pushed his bush of black hair off his brow:
When she lifted her mop from her eyes, and screwed it
            in a knob behind
            —O act of fearful temerity!
When they felt their foreheads bare, naked to heaven,
            their eyes revealed:
When they left the light of heaven brandished like a knife at
            their defenceless eyes
And the sea like a blade at their face,
Mediterranean savages:
When they came out, face-revealed, under heaven, from
            the shaggy undergrowth of their own hair
For the first time,
They saw tiny rose cyclamens between their toes, growing
Where the slow toads sat brooding on the past.
 
Slow toads, and cyclamen leaves
Stickily glistening with eternal shadow
Keeping to earth.
Cyclamen leaves
Toad-filmy, earth-iridescent
Beautiful
Frost-filigreed
Spumed with mud
Snail-nacreous
Low down.
 
The shaking aspect of the sea
And man’s defenceless bare face
And cyclamens putting their ears back.
 
Long, pensive, slim-muzzled greyhound buds
Dreamy, not yet present,
Drawn out of earth
At his toes.
 
Dawn-rose
Sub-delighted, stone engendered
Cyclamens, young cyclamens
Arching
Waking, pricking their ears
Like delicate very-young greyhound bitches
Half-yawning at the open, inexperienced
Vistas of day,
Folding back their soundless petalled ears.
 
Greyhound bitches
Bending their rosy muzzles pensive down,
And breathing soft, unwilling to wake to the new day
Yet sub-delighted.
 
Ah Mediterranean morning, when our world began!
Far-off Mediterranean mornings,
Pelasgic faces uncovered
And unbudding cyclamens.
 
The hare suddenly goes uphill
Laying back her long ears with unwinking bliss.
 
And up the pallid, sea-blenched Mediterranean stone-slopes
Rose cyclamen, ecstatic fore-runner!
Cyclamens, ruddy-muzzled cyclamens
In little bunches like bunches of wild hares
Muzzles together, ears-aprick
 
Whispering witchcraft
Like women at a well, the dawn-fountain.
 
Greece, and the world’s morning
While all the Parthenon marbles still fostered the roots of the cyclamen.
Violets
Pagan, rosy-muzzled violets
Autumnal
Dawn-pink,
Dawn-pale
Among squat toad-leaves sprinkling the unborn
Erechtheion marbles.
 
                                                                                                     Taormina
 
",D. H. Lawrence,"Nature,Animals,Trees & Flowers"
14,"
                    Snake
                ","
A snake came to my water-trough
On a hot, hot day, and I in pyjamas for the heat,
To drink there.
 
In the deep, strange-scented shade of the great dark carob tree
I came down the steps with my pitcher
And must wait, must stand and wait, for there he was at the trough
            before me.
 
He reached down from a fissure in the earth-wall in the gloom
And trailed his yellow-brown slackness soft-bellied down, over
            the edge of the stone trough
And rested his throat upon the stone bottom,
And where the water had dripped from the tap, in a small clearness,
He sipped with his straight mouth,
Softly drank through his straight gums, into his slack long body,
Silently.
 
Someone was before me at my water-trough,
And I, like a second-comer, waiting.
 
He lifted his head from his drinking, as cattle do,
And looked at me vaguely, as drinking cattle do,
And flickered his two-forked tongue from his lips, and mused
             a moment,
And stooped and drank a little more,
Being earth-brown, earth-golden from the burning bowels
            of the earth
On the day of Sicilian July, with Etna smoking.
 
The voice of my education said to me
He must be killed,
For in Sicily the black, black snakes are innocent, the gold
            are venomous.
 
And voices in me said, If you were a man
You would take a stick and break him now, and finish him off.
 
But must I confess how I liked him,
How glad I was he had come like a guest in quiet, to drink
            at my water-trough
And depart peaceful, pacified, and thankless,
Into the burning bowels of this earth?
 
Was it cowardice, that I dared not kill him?
Was it perversity, that I longed to talk to him?
Was it humility, to feel so honoured?
I felt so honoured.
 
And yet those voices:If you were not afraid, you would kill him!
 
And truly I was afraid, I was most afraid,
But even so, honoured still more
That he should seek my hospitality
From out the dark door of the secret earth.
 
He drank enough
And lifted his head, dreamily, as one who has drunken,
And flickered his tongue like a forked night on the air, so black,
Seeming to lick his lips,
And looked around like a god, unseeing, into the air,
And slowly turned his head,
And slowly, very slowly, as if thrice adream,
Proceeded to draw his slow length curving round
And climb again the broken bank of my wall-face.
 
And as he put his head into that dreadful hole,
And as he slowly drew up, snake-easing his shoulders,
            and entered farther,
A sort of horror, a sort of protest against his withdrawing into
            that horrid black hole,
Deliberately going into the blackness, and slowly drawing
            himself after,
Overcame me now his back was turned.
 
I looked round, I put down my pitcher,
I picked up a clumsy log
And threw it at the water-trough with a clatter.
 
I think it did not hit him,
But suddenly that part of him that was left behind convulsed
            in an undignified haste,
Writhed like lightning, and was gone
Into the black hole, the earth-lipped fissure in the wall-front,
At which, in the intense still noon, I stared with fascination.
 
And immediately I regretted it.
I thought how paltry, how vulgar, what a mean act!
I despised myself and the voices of my accursed human education.
 
And I thought of the albatross,
And I wished he would come back, my snake.
 
For he seemed to me again like a king,
Like a king in exile, uncrowned in the underworld,
Now due to be crowned again.
 
And so, I missed my chance with one of the lords
Of life.
And I have something to expiate:
A pettiness.
 
                                                                                                     Taormina
 
 
",D. H. Lawrence,"Living,Life Choices,Nature,Animals,Religion,The Spiritual"
15,"
                    Wing Shows on Starway Zodiac Carousel
                ","
Cyclones
of ecstatic dust
and ashes whirl
crusaders
from hallucinatory citadels
of shattered glass
into evacuate craters
 
A flock of dreams
browse on Necropolis
 
From the shores
of oval oceans
in the oxidized Orient
 
Onyx-eyed Odalisques
and ornithologists
observe the flight
of Eros obsolete
 
And ""Immortality""
mildews
in the museums of the moon
",Mina Loy,"Living,Death,Love,Desire"
16,"
                    Joyce's Ulysses
                ","
The Normal Monster
sings in the Green Sahara
 
The voice and offal
of the image of God
 
make Celtic noises
in these lyrical hells
 
Hurricanes
of reasoned musics
reap the uncensored earth
 
The loquent consciousness
of living things
pours in torrential languages
 
The elderly colloquists
the Spirit and the Flesh
are out of tongue
 
The Spirit
is impaled upon the phallus
 
Phoenix
of Irish fires
lighten the Occident
 
with Ireland's wings
flap pandemoniums
of Olympian prose
 
and satinize
the imperial Rose
of Gaelic perfumes —
England
the sadistic mother
embraces Erin
 
Master
of meteoric idiom
present
 
The word made flesh
and feeding upon itself
with erudite fangs
The sanguine
introspection of the womb
 
Don Juan
of Judea
upon a pilgrimage
to the Libido
 
The press
purring
its lullabies to sanity
 
Christ capitalized
scourging
incontrite usurers of destiny
in hole and corner temples
 
And hang
The soul's advertisements
outside the ecclesiast's Zoo
 
A gravid day
spawns
gutteral gargoyles
upon the Tower of Babel
 
Empyrean emporium
where the
rejector-recreator
Joyce
flashes the giant reflector
on the sub rosa
 
",Mina Loy,"Religion,Christianity,Arts & Sciences,Language & Linguistics,Reading & Books"
17,"
                    Café du Néant
                ","
Little tapers leaning lighted diagonally
Stuck in coffin tables of the Café du Néant
Leaning to the breath of baited bodies
Like young poplars fringing the Loire
 
Eyes that are full of love
And eyes that are full of kohl
Projecting light across the fulsome ambiente
Trailing the rest of the animal behind them
Telling of tales without words
And lies of no consequence
One way or another
 
The young lovers hermetically buttoned up in black
To black cravat
To the blue powder edge dusting the yellow throat
What color could have been your bodies
When last you put them away
 
Nostalgic youth
Holding your mistress's pricked finger
In the indifferent flame of the taper
Synthetic symbol of LIFE
In this factitious chamber of DEATH
The woman
As usual
Is smiling as bravely
As it is given to her to be brave
 
While the brandy cherries
In winking glasses
Are decomposing
Harmoniously
With the flesh of spectators
And at a given spot
There is one
Who
Having the concentric lighting focussed precisely upon her
Prophetically blossoms in perfect putrefaction
Yet there are cabs outside the door.
 
",Mina Loy,"Living,Death,Life Choices,Love,Desire"
18,"
                    Sketch of a Man on a Platform
                ","
Man of absolute physical equilibrium
You stand so straight on your legs
Every plank or clod you plant your feet on
Becomes roots for those limbs
 
Among the men you accrete to yourself
You are more heavy
And more light
Force being most equitably disposed
Is easiest to lift from the ground
So at the same time
Your movements
Unassailable
Savor of the airy-fairy of the ballet
The essence of a Mademoiselle Genée
Winks in the to-and-fro of your cuff-links
 
Your projectile nose
Has meddled in the more serious business
Of the battle-field
With the same incautious aloofness
Of intense occupation
That it snuffles the trail of the female
And the comfortable
Passing odors of love
 
Your genius
So much less in your brain
 
Than in your body
Reinforcing the hitherto negligible
 
Qualities
Of life
Deals so exclusively with
The vital
That it is equally happy expressing itself
Through the activity of pushing
THINGS
In the opposite direction
To that which they are lethargically willing to go
As in the amative language
Of the eyes
 
Fundamentally unreliable
You leave others their initial strength
Concentrating
On stretching the theoretic elastic of your conceptions
Till the extent is adequate
To the hooking on
Of any — or all
Forms of creative idiosyncrasy
While the occasional snap
Of actual production
Stings the face of the public.
 
",Mina Loy,"Relationships,Men & Women,Social Commentaries,Cities & Urban Life,Gender & Sexuality"
19,"
                    Love Songs
                ","
I
 
Spawn of fantasies
Sifting the appraisable
Pig Cupid his rosy snout
Rooting erotic garbage
""Once upon a time""
Pulls a weed white star-topped
Among wild oats sown in mucous membrane
I would an eye in a Bengal light
Eternity in a sky-rocket
Constellations in an ocean
Whose rivers run no fresher
Than a trickle of saliva
 
These are suspect places
 
I must live in my lantern
Trimming subliminal flicker
Virginal to the bellows
Of experience
Colored glass.
 
 
 
II
 
At your mercy
Our Universe
Is only
A colorless onion
You derobe
Sheath by sheath
Remaining
A disheartening odour
About your nervy hands
 
 
 
III
 
Night
Heavy with shut-flower's nightmares
---------------------------------------------
Noon
Curled to the solitaire
Core of the
Sun
 
 
 
IV
 
Evolution fall foul of
Sexual equality
Prettily miscalculate
Similitude
 
Unnatural selection
Breed such sons and daughters
As shall jibber at each other
Uninterpretable cryptonyms
Under the moon
 
Give them some way of braying brassily
For caressive calling
Or to homophonous hiccoughs
Transpose the laugh
Let them suppose that tears
Are snowdrops or molasses
Or anything
Than human insufficiences
Begging dorsal vertebrae
 
Let meeting be the turning
To the antipodean
And Form a blur
Anything
Than to seduce them
To the one
As simple satisfaction
For the other
 
 
 
V
 
Shuttle-cock and battle-door
A little pink-love
And feathers are strewn
 
 
 
VI
 
Let Joy go solace-winged
To flutter whom she may concern
 
 
 
VII
 
Once in a mezzanino
The starry ceiling
Vaulted an unimaginable family
Bird-like abortions
With human throats
And Wisdom's eyes
Who wore lamp-shade red dresses
And woolen hair
 
One bore a baby
In a padded porte-enfant
Tied with a sarsenet ribbon
To her goose's wings
 
But for the abominable shadows
I would have lived
Among their fearful furniture
To teach them to tell me their secrets
Before I guessed
-- Sweeping the brood clean out
 
 
 
VIII
 
Midnight empties the street
--- --- --- To the left a boy
--- One wing has been washed in rain
The other will never be clean any more ---
Pulling door-bells to remind
Those that are snug
To the right a haloed ascetic
Threading houses
Probes wounds for souls
--- The poor can't wash in hot water ---
And I don't know which turning to take ---
 
 
 
IX
 
We might have coupled
In the bed-ridden monopoly of a moment
Or broken flesh with one another
At the profane communion table
Where wine is spill't on promiscuous lips
 
We might have given birth to a butterfly
With the daily-news
Printed in blood on its wings
 
 
 
X
 
In some
Prenatal plagiarism
Foetal buffoons
Caught tricks
--- --- --- --- ---
From archetypal pantomime
Stringing emotions
Looped aloft
--- --- --- ---
For the blind eyes
That Nature knows us with
And most of Nature is green
--- --- --- --- --- --- --- --- --- --- --- ---
 
 
 
XI
 
Green things grow
Salads
For the cerebral
Forager's revival
And flowered flummery
Upon bossed bellies
Of mountains
Rolling in the sun
 
 
 
XII
 
Shedding our petty pruderies
From slit eyes
 
We sidle up
To Nature
--- --- --- that irate pornographist
 
 
 
XIII
 
The wind stuffs the scum of the white street
Into my lungs and my nostrils
Exhilarated birds
Prolonging flight into the night
Never reaching --- --- --- --- ------ --- ---
",Mina Loy,"Love,Desire,Realistic & Complicated,Nature"
20,"
                    Prayer
                ","
My body is opaque to the soul.
Driven of the spirit, long have I sought to temper it unto the spirit’s
    longing,
But my mind, too, is opaque to the soul.
O Spirits of whom my soul is but a little finger,
Direct it to the lid of its flesh-eye.
I am weak with much giving.
I am weak the desire to give more.
(How strong a thing is the little finger!)
So weak that I have confused the body with the soul,
And the body with its little finger.
(How frail is the little finger.)
My voice could not carry to you did you dwell in stars,
O spirits of whom my soul is but a little finger . .
",Jean Toomer,"Living,The Body,Religion,Faith & Doubt,The Spiritual"
21,"
                    Portrait in Georgia
                ","
Hair–braided chestnut,
coiled like a lyncher’s rope,
Eye–fagots,
Lips–old scars, or the first red blisters,
Breath–the last sweet scent of cane,
And her slim body, white as the ash
         of black flesh after flame.
 
",Jean Toomer,"Social Commentaries,Race & Ethnicity"
22,"
                    Beehive
                ","
Within this black hive to-night
There swarm a million bees;
Bees passing in and out the moon,
Bees escaping out the moon,
Bees returning through the moon,
Silver bees intently buzzing,
Silver honey dripping from the swarm of bees
Earth is a waxen cell of the world comb,
And I, a drone,
Lying on my back,
Lipping honey,
Getting drunk with that silver honey,
Wish that I might fly out past the moon
And curl forever in some far-off farmyard flower.
 
",Jean Toomer,"Nature,Animals,Religion,The Spiritual"
23,"
                    Tell Me
                ","
Tell me, dear beauty of the dusk,
   When purple ribbons bind the hill,
    Do dreams your secret wish fulfill,
Do prayers, like kernels from the husk
 
Come from your lips? Tell me if when
    The mountains loom at night, giant shades
    Of softer shadow, swift like blades
Of grass seeds come to flower. Then
 
Tell me if the night winds bend
    Them towards me, if the Shenandoah
    As it ripples past your shore,
Catches the soul of what you send.
 
 
 
",Jean Toomer,"Love,Romantic Love,Religion,The Spiritual"
24,"
                    [All in green went my love riding]
                ","
All in green went my love riding
on a great horse of gold
into the silver dawn.
 
four lean hounds crouched low and smiling
the merry deer ran before.
 
Fleeter be they than dappled dreams
the swift sweet deer
the red rare deer.
 
Four red roebuck at a white water
the cruel bugle sang before.
 
Horn at hip went my love riding
riding the echo down
into the silver dawn.
 
four lean hounds crouched low and smiling
the level meadows ran before.
 
Softer be they than slippered sleep
the lean lithe deer
the fleet flown deer.
 
Four fleet does at a gold valley
the famished arrow sang before.
 
Bow at belt went my love riding
riding the mountain down
into the silver dawn.
 
four lean hounds crouched low and smiling
the sheer peaks ran before.
 
Paler be they than daunting death
the sleek slim deer
the tall tense deer.
 
Four tall stags at a green mountain
the lucky hunter sang before.
 
All in green went my love riding
on a great horse of gold
into the silver dawn.
 
four lean hounds crouched low and smiling
my heart fell dead before.
 
",E. E. Cummings,"Living,Death,Love,Romantic Love,Activities,Sports & Outdoor Activities,Nature,Animals"
25,"
                    [the bigness of cannon]
                ","
the bigness of cannon
is skilful,
 
but i have seen
death’s clever enormous voice
which hides in a fragility
of poppies. . . .
 
i say that sometimes
on these long talkative animals
are laid fists of huger silence.
 
I have seen all the silence
filled with vivid noiseless boys
 
at Roupy
i have seen
between barrages,
 
the night utter ripe unspeaking girls.
 
",E. E. Cummings,"Living,Death,Social Commentaries,War & Conflict"
26,"
                    [O sweet spontaneous]
                ","
O sweet spontaneous
earth how often have
the
doting
 
             fingers of
prurient philosophers pinched
and
poked
 
thee
,has the naughty thumb
of science prodded
thy
 
        beauty      how
often have religions taken
thee upon their scraggy knees
squeezing and
 
buffeting thee that thou mightest conceive
gods
         (but
true
 
to the incomparable
couch of death thy
rhythmic
lover
 
             thou answerest
 
 
them only with
 
                              spring)
 
",E. E. Cummings,"Nature,Landscapes & Pastorals,Spring,Religion,The Spiritual,Arts & Sciences,Philosophy,Sciences"
