,Title,Poem,Poet,Tags
11,"
                    First Fall
                ","
I’m your guide here. In the evening-dark
morning streets, I point and name.
Look, the sycamores, their mottled,
paint-by-number bark. Look, the leaves
rusting and crisping at the edges.
I walk through Schiller Park with you
on my chest. Stars smolder well
into daylight. Look, the pond, the ducks,
the dogs paddling after their prized sticks.
Fall is when the only things you know
because I’ve named them
begin to end. Soon I’ll have another
season to offer you: frost soft
on the window and a porthole
sighed there, ice sleeving the bare
gray branches. The first time you see
something die, you won’t know it might
come back. I’m desperate for you
to love the world because I brought you here.
 
",Maggie Smith,"Living,Parenthood,Relationships,Family & Ancestors,Nature,Fall"
12,"
                    You Could Never Take A Car to Greenland,
                ","
my daughter says. Unless the car could float.
Unless by car you mean boat. Unless the ocean
turned to ice and promised not to crack.
Unless Greenland floated over here,
having lifted its anchor. Unless we could row
our country there. Our whole continent
would have to come along, wouldn't it? Unless
we cut ourselves free. What kind of saw
could we use for that? What kind of oars
could deliver one country to another?
She asks, Why is Greenland called Greenland
if it’s not green? Why is Iceland called
Iceland if it’s greener than Greenland?
Unless it’s a trick, a lie: the name Greenland
is an ad for Greenland. Who would go
promised nothing but ice? Who would cut
her home to pieces and row away for that?
",Maggie Smith,"Living,Youth,Relationships,Family & Ancestors"
13,"
                    Parachute
                ","
Because a lie is not a lie if the teller
believes it, the way beautiful things
 
reassure us of the world’s wholeness,
of our wholeness, is not quite a lie.
 
Beautiful things believe their own
narrative, the narrative that makes them
 
beautiful. I almost believed it
until the new mother strapped
 
her infant to her chest, opened
the eighth-floor window,
 
and jumped. My daughter tells me,
after her preschool field trip
 
to the Firefighter Museum,
about the elephant mask, its hose
 
like a trunk, and the video of a man
on fire being smothered in blankets.
 
She asks me if she knows anyone
who got dead in a fire, anyone who
 got fired. When will I die? she asks.
When I was a child, I churched
 
my hands, I steepled my hands,
and all the people were inside,
 
each finger a man, a woman,
a child. When I die, will you
 still love me? she asks. The mother
cracked on the pavement—
 
how did the baby live? Look,
he smiles and totters around
 
the apartment eight stories up.
Beautiful things reassure us
 
of the world’s wholeness:
each child sliding down the pole
 
into the fire captain’s arms.
But what’s whole doesn’t sell
 
itself as such: buy this whole apple,
this whole car. Live this whole life.
 
A lie is not a lie if the teller
believes it? Next time the man
 
in the video will not ignite.
The baby will open like a parachute.
 
",Maggie Smith,"Living,Death,Parenthood,Relationships,Family & Ancestors"
14,"
                    What I Carried
                ","
I carried my fear of the world
to my children, but they refused it.
 
I carried my fear of the world
on my chest, where I once carried
my children, where some nights it slept
as newborns sleep, where it purred
but mostly growled, where it licked
sweat from my clavicles.
 
I carried my fear of the world
and apprenticed myself to the fear.
 
I carried my fear of the world
and it became my teacher.
I carried it, and it repaid me
by teaching me how to carry it.
 
I carried my fear of the world
the way an animal carries a kill in its jaws
but in reverse: I was the kill, the gift.
Whose feet would I be left at?
 
I carried my fear of the world
as if it could protect me from the world.
 
I carried my fear of the world
and for my children modeled marveling
at its beauty but keeping my hands still—
keeping my eyes on its mouth, its teeth.
 
I carried my fear of the world.
I stroked it or I did not dare to stroke it.
 
I carried my fear of the world
and it became my teacher.
It taught me how to keep quiet and still
 
I carried my fear of the world
and my love for the world.
I carried my terrible awe.
 
I carried my fear of the world
without knowing how to set it down.
 
I carried my fear of the world
and let it nuzzle close to me,
and when it nipped, when it bit
down hard to taste me, part of me
shined: I had been right.
 
I carried my fear of the world
and it taught me I had been right.
I carried it and loved it
for making me right.
 
I carried my fear of the world
and it taught me how to carry it.
 
I carried my fear of the world
to my children and laid it down
at their feet, a kill, a gift.
Or I was laid at their feet.
",Maggie Smith,"Living,Life Choices,Relationships,Family & Ancestors"
15,"
                    The First Woman
                ","
She was my Sunday school teacher
when I was just seven and eight.
He was the newly hired pastor,
 
an albino, alarming sight
with his transparent eyelashes
and mouse-pink skin that looked like it
 
might hurt whenever she caressed
his arm. Since Eva was her name,
to my child’s mind it made great sense
 
that she should fall in love with him.
He was Adán. Before the Fall
and afterward, her invert twin.
 
And she, Eva, was blonde as well,
though more robust, like Liv Ullmann.
I loved her honey hair, her full
 
lips; her green eyes a nameless sin.
(Not that I worried all that much—
the church was Presbyterian.)
 
In Sunday school, her way to teach
us kids to pray was to comment
on all the beauty we could touch
 
or see in our environment.
My hand was always in the air
to volunteer my sentiment.
 
Since other kids considered prayer
a chore, the floor was usually mine.
My list of joys left out her hair
 
but blessed the red hibiscus seen
through the windows while others bowed
their heads. Her heart I schemed to win
 
with purple prose on meringue clouds.
—For who was Adán, anyway,
I thought, but nada spelled backward?
 
While hers, reversed, called out, Ave! Ave! The lyric of a bird
born and airborne on the same day.
 
But it was night when I saw her
outside the church for the last time:
yellow light, mosquitoes, summer.
 
I shaped a barking dog, a fine
but disembodied pair of wings
with my hands. She spoke in hushed tones
 
to my parents. The next day I would find
myself up north, in a strange house,
without my tongue and almost blind,
 
there was so much to see. This caused
Cuba, my past, to be eclipsed
in time, but Eva stayed, a loss.
 Ave, I learned, meant also this:Farewell! I haven’t seen her since.
 
",Aleida Rodríguez,"Living,Coming of Age,Youth,Activities,School & Learning,Religion,Christianity"
16,"
                    History
                ","



In art, politics, school, church, business, love
 or marriage—in a piece of work or in a career—
strongly spent is synonymous with kept. 
                                                              —Robert Frost



She taught me the names of flowers: calendula, ranunculus, Iceland
poppy. And the medicinal uses of herbs: Fenugreek opens up a
stuffy head; goldenseal lubricates the cracked mucous membranes.
Over a circa 1820 American dropleaf table, she told me asparagus
was the broom of the kidneys. I hadn't understood at first and
thought she'd used a German word I pictured as brüm and not as the
little stalks standing on their heads, sweeping out the impurities. I
learned to make the perfect roux for soufflé and became her
efficient assistant in the kitchen—dicing and chopping, she once
told me, with unparalleled patience. Then one day she began to
accidentally break my Depression glassware, and I recalled how
she'd giggled when she told me that in two years of marriage she
had single-handedly decimated her husband's glass collection
dating from 1790 to 1810, including a rare wedding goblet. In the
doorway to the back porch she stated simply that my presence
made her feel strangled, it was nothing I was doing or could do. We
saw a therapist for six years, while my collection dwindled then
became memory. With unparalleled patience I jumped through
hoop after burning hoop, the therapist pointed out, but I heard that
as praise for my prowess and continued to balance Bauer plates on
my nose on command; hold growling tigers off with Windsor dining
room chairs; juggle career, job, hope, and nightly tempests with
unparalleled dexterity. I could reassemble anything: shattered pictures
of us crossing the street with canes in the future, my hand under her
elbow. My heart. But what I lacked, I can see now, was the ability
to dissemble. Finally, she brought home a Cuisinart food processor,
and I started hearing the minutes slicing away with ferocious velocity,
time doing its soft-shoe faster and faster like Fred Astaire on
amphetamines. Memories of flowers and herbs were sacrificed to
the angry god of its vortex. Your voice is like acid on my skin, she
said after twelve years, then grabbed her Cuisinart and left me
behind like so much history.
",Aleida Rodríguez,"Living,Marriage & Companionship,Separation & Divorce,Love,Heartache & Loss,Realistic & Complicated"
17,"
                    Little Cuba Stories/Cuentos de Cuba
","
V.
                                                  A.
There are no doors between the rooms. The archways bore
through the house like a tunnel through a mountain. The room
one falls into after my parents’ is the largest and serves as two
bedrooms divided by an invisible wall. Half of it is my brother’s
and the other half my sister and I share, but not at first.
 
Earlier, I have a bed to myself on the side of the room nearest the
kitchen. My bed is low and on one side a wooden rail can be
dragged up noisily and clicked into place.
 
          It is here my little goat wakes me, grabbing the covers off
          me with her teeth. We play in the empty pig shelter at the
          far end of the patio while my mother washes clothes in a
          palangana and throws the soapy water across the concrete,
          where it steams.
 
          But my father is a butcher by profession, and my family
          has other plans for my goat: a Sunday picnic at the zoo in
          Havana. The day is huge and blue and breezy. My sister
          teases me for not eating and says my goat is delicious. I
          stray away to watch the monkeys.
 
          I give one of the monkeys near the fence my banana. As it
          finishes peeling it meticulously, another monkey appears
          behind it and shoves the banana into its own mouth. The
          first monkey turns around, slaps it in the face with the
          empty peel, but that monkey isn’t sorry and starts jumping
          and screeching and showing its yellow teeth.
 
          For many years, those monkeys are all I can remember
          about the picnic at the zoo.
 
 
                                                  B.
Later, when my sister and I share a bed on the other side of the room,
I can see the tall narrow cabinet right inside my parents’ room. My
father always puts his hat on top of it as he walks in. And at night,
through the mosquito netting, it is a tall thin man wearing a straw
hat, lurking just outside the door, watching me in a sinister way. The
dead weight of my sister’s habitual leg thrown across my body is no
talisman. I have to keep waking myself up, sweaty and tense, to
make sure he hasn’t moved any closer.
 
",Aleida Rodríguez,"Living,Youth,Nature,Animals"
18,"
                    The Invisible Body
                ","



Regla lesbia: Flexible rule that may be adjusted to any
body to be measured. Compare regla fija: standard. 
                                                    —The Velázquez Dictionary



I.
In the garden, it’s there. Even when you’re inside you feel it,
as though it were you standing naked among the weeds,
 
the tips of the bougainvillea bursting into flame, your nipples
ruffled like the skin of a lake by a breeze.
 
You worship the invisible body like an old-fashioned lover, from afar,
loving the specificity of space between you.
 
Sometimes at night it stretches out on the empty side
of the bed, stares at you with the length of its invisible surface.
 
Every contour of your body not filled by you is molded
by the attentiveness of the invisible body, whose breath surrounds
     you.
 
It’s more than prayer it wants—more than language, with its
     conditions.
The invisible body demands you invent new senses to receive it,
 
new places on your body to marvel at its subtlety,
like the eyes of the deaf percussionist that perceive sound.
 
II.
The invisible body wants you to become a satellite dish,
tuned to what exists only because your body calls to it.
 
Like the woman who had her kitchen remodeled to make room
for the microwave she’d entered a contest for. Then won.
 
III.
When asked whether falling in love was about acquisitiveness,
about the ego, the seventy-five-year-old poet
 
responded that the ego had nothing to do with it;
it was the need for union with the beloved.
 
Rumi asks, Who is it we spend our entire lives loving? 
 
IV.
How, then, do you measure the invisible body,
which resists commitment but is faithful?
 
Is it clear who the beloved is, when no clear
body exists that can be measured against a standard?
 
V.
The invisible body sometimes acquires a body—it’s so convincing,
it takes you a while to figure out it’s really the invisible body.
 
Like someone who has been reading your journal,
it has decoded from your petty, daily complaints the open sesame
 
that slides the stone from the hidden cave’s opening
and cleans you out while you sleep, leaving a sarcastic note.
 
It wants you to know it was doing you a favor, besides,
how else did you think you’d discover the cave’s precise location?
 
When Aphrodite sharpens you, you sacrifice a little of yourself,
willingly, as a knife does, so that you may become better at it.
 
VI.
This is the point at which the invisible body speaks
in italics, the Ouija board of poetry.
 In my mind, says the invisible body, that time capsule shuttlingthrough space, I hold, in all the languages of the world,
 your love, rushed like holographic platters to a table,steaming into the future long after you’ve ceased to shine,
 the silver faces of your beloved bobbing out of the darkness,the black velvet pillow of your life on which you offer them for view.
 
VII.
The invisible body is created out of your longing, your longing
compressing invisible molecules together into an absence you
     recognize.
 
That is the way one blind man sees the world—after the fact,
in photographs he took, once he had passed through it.
",Aleida Rodríguez,"Living,The Body,Love,Desire"
19,"
                    Trying to See Auras at the Airport
                ","
Recycled over and over
people born look like parents,
grandparents, sister or brother,
or perhaps a throwback
from an earlier ancestor,
the hawk nose, a hard ridged forehead,
the cleft in the chin or a blue birthmark
on the arm, the stomach,
the dainty fresh bum of a newborn
each unique like a snowflake never
can you guess what’s on their mind
sometimes I can feel what they’re feeling
detect it like hairs on the back of my arms,
together we live, talk, walk the same sidewalks,
to die buried in a foreign cemetery
for others to sit upon ponder their
own light, why am I free, what must I do,
does someone love me like I do,
new skin gives way to wrinkles,
hair fades to gray, bones grow strong
then decay, strength seeps every time
one pees, sleeps, ages, loves,
muscles grow then shrink the body
a temporary vessel destination unknown.
 
April 28, 2002
",Angela C. Trudell Vasquez,"Living,Growing Old,The Body,Time & Brevity,Relationships,Family & Ancestors"
20,"
                    Mark Twain
                ","
If the ashes of Mark Twain
lie in the Mississippi River
then I’m sure he does rise up some days
emerge from dark polluted depths
to walk over water to land
and scans the horizon for change
being a curious sort,
he sees the crisis rise again
another war on the horizon
and shakes his craggy head to say no not again
he hopes truth-sayers still exist
who don’t have to wait until their dead.
 
December 2002
",Angela C. Trudell Vasquez,"Mythology & Folklore,Ghosts & the Supernatural"
21,"
                    [A blue anchor grains of grit in a tall sky sewing]
                ","
A blue anchor grains of grit in a tall sky sewing
I inch and only sometimes as far as the twisted pole gone in spare colors
Too late the last express passes through the dust of gardens
",John Ashbery,
22,"
                    Ilulissat
                ","



                          Outside
                                                outside myself  
                                                                                  there is a world,
                          he rumbled, subject to my incursions
                                          —William Carlos Williams, Paterson



i. 
impossible. 
sterile extrusion
the rigour of its beauty
its crumpled geometry
worked to defeat.
light, stopped.
locked in its form
shuttered and windless
in dry rifts,
split, furrowed, mottled, creased.
ii. 
trundling
bulging from behind, 
its too heavy body
its natural carapace
shelving green,
sinking the sea beneath it
the difficulty piling up,
rising to the surface. 
iii. 
swirling backward
on blue flowering currents
rolling up
sudden, in spray and mist
—like the turning of a page
that leaves us blinded for a second—
unlocked in a milky scum
half hid, long on its axis
growing open wounds
of violet, emerald, silver.
a point of astonishment.
lapses of silence. air.
",Lesley Harrison,"Nature,Landscapes & Pastorals,Seas, Rivers, & Streams"
23,"
                    Nude
                ","



from Pia Arke's exhibition Arctic Hysteria at Greenland's 
National Museum & Archives, Nuuk, 2010



i.
I am in my body. I am here, in front of you. I am the temperature in this room. I am undressed in my nudity; I am the light and shade you feel. I am more like other people than like you. I have before and after. I am my self, entirely and only. My outside and inside are continuous. I am muscle, organ, fluid, bone. I am monumental. You are the only one who sees me. ii. 
I am not naked as I am; I am naked as you see me. I am transparent, almost visible. I have a time and a place. I am tribal and exotic. I must always carry objects. You are heroic. I am a complete museum, the story of my own making. I am a mirror to you; you are reflected in the looking at me. At best, I mimic you. You write me. When you leave, I will no longer exist. iii. 
I am a single conscious point. I am indifferent. I am unself, like a photogram. I am prehistoric, before definition. Your body falls over me. I have depth and luminescence. I am neither here nor there; I have infinite extension. I live inside the lived world, the light and dark inside my head like dream substance. I am camera obscura, the room itself. I both adore and resist. 
                ",Lesley Harrison,"Desire,Social Commentaries,Gender & Sexuality"
24,"
                    Eday, North Isles
                ","
GUITH
              a greylag morning,
              the sea a conscious blue.
CALF SOUND
              orca
              in a sea blue room,
              breathing pearls that rise to the surface.
GROATHA
              the plenum of the shed:
              every part infilled with flutter,
              glass, sheep turd, gusts of damp.
GREENTOFT
              gunshot punctures a field
              of geese, their clackety rise
              a flock of helicopters.
THE SETTER STONE
               an old man steps out of the ground
               all lines and angles,
               sun snagged in his beard. 
MILLCROFT
              a tree softened house:
              red willow, alder, pine,
              eucalyptus rooting.
WARNESS
              a stream hole
              a pure, dense fall; 
              one ocean falling into another.
PLANTATION
             wren, silver lark, crow
             woody snipe, curlew, hen hawk
             day owl, starling. 
SOUTH END
              the Varagen, beaded with spotlights
              curves through the dark
              round great holes in the sea
WARD HILL
               climbing with the moon,
               the wind blowing round my mouth—
               a low note, like an owl. 
 
",Lesley Harrison,"Nature,Seas, Rivers, & Streams"
25,"
                    In an Artist's Studio
                ","
One face looks out from all his canvases,
One selfsame figure sits or walks or leans:
We found her hidden just behind those screens,
That mirror gave back all her loveliness.
A queen in opal or in ruby dress,
A nameless girl in freshest summer-greens,
A saint, an angel — every canvas means
The same one meaning, neither more or less.
He feeds upon her face by day and night,
And she with true kind eyes looks back on him,
Fair as the moon and joyful as the light:
Not wan with waiting, not with sorrow dim;
Not as she is, but was when hope shone bright;
Not as she is, but as she fills his dream.
",Christina Rossetti,
26,"
                    A Triad
                ","
Three sang of love together: one with lips
   Crimson, with cheeks and bosom in a glow,
Flushed to the yellow hair and finger tips;
   And one there sang who soft and smooth as snow
   Bloomed like a tinted hyacinth at a show;
And one was blue with famine after love,
   Who like a harpstring snapped rang harsh and low
The burden of what those were singing of.
One shamed herself in love; one temperately
   Grew gross in soulless love, a sluggish wife;
One famished died for love. Thus two of three
   Took death for love and won him after strife;
One droned in sweetness like a fattened bee:
   All on the threshold, yet all short of life.
",Christina Rossetti,
27,"
                    From the Antique
                ","
It's a weary life, it is, she said:
Doubly blank in a woman's lot:
I wish and I wish I were a man:
Or, better then any being, were not:
Were nothing at all in all the world,
Not a body and not a soul:
Not so much as a grain of dust
Or a drop of water from pole to pole.
Still the world would wag on the same,
Still the seasons go and come:
Blossoms bloom as in days of old,
Cherries ripen and wild bees hum.
None would miss me in all the world,
How much less would care or weep:
I should be nothing, while all the rest
Would wake and weary and fall asleep.
",Christina Rossetti,
