,Title,Poem,Poet,Tags
11,"
                    The Lilies
                ","
When I learned I might have cancer,
I bought fifteen white lilies. Easter was gone:
the trumpets were wilted, plants crooked with roots
bound in pots. I dug them into the garden,
knowing they would not bloom for another year.
All summer, the stalks stood like ramshackle posts
while I waited for results. By autumn, the stalks
had flopped down. More biopsies, laser incisions,
the cancer in my tongue a sprawling mass. Outside,
the earth remained bare, rhizomes shrunken
below the frost line. Spring shoots appeared
in bright green skins, and lilies bloomed
in July, their waxed trumpets pure white,
dusting gold pollen to the ground.
                                                                     This year,
tripled in number, they are popping up again. I wait,
a ceremony, for the lilies to open, for the serpentine length
of the garden to bloom in the shape of my tongue’s scar,
a white path with one end leading into brilliant air,
the other down the throat’s canyon, black
and unforgiving. I try to imagine
what could grow in such darkness. I am waiting
for the lilies to open.
",Karenne Wood,"Living,Health & Illness,Activities,Gardening,Nature,Trees & Flowers,Get Well & Recovery"
12,"
                    Juxtaposition
                ","
throughout the years I have designed
high-end custom homes
crafting spatial poetics with vigas and latillas 
hand peeled by mojados 
whose sweat translates into profit for developers
working at a nifty rate
 
sometimes I go visit these homes
as they are being finished
 may I help you? 
I am asked by the realtor
standing at the door,
thinking that I may be the guy
who mixed the mud and pushed the wheelbarrow
 
I introduce myself as the designer
 oh, well, it’s so nice to meet you, what a wonderful job!please, come in. 
 
I was once asked by a home magazine journalist
if I felt insulted by such incidentswell, no, I said, my mind mixing for an answera good batch of cement is never accidental 
 
last year on my way up through Santa Fe
I made a detour and drove by a house of my design
the season’s first snow on the ground,
smoke rising out of the fireplace chimney
 
inch by inch
I know that house
through its X, Y, and Z axis
 
but, I cannot approach the front door
knock and expect to be invited in
to sit in the corner of my pleasing
and lounge around with the owner
as we sip on cups of hot herbal tea
making small talk about the weather
or discussing a reading
by the latest author come through
as the sun’s last light
streams in gallantly
through the window
just where I placed it
and for that reason
 
I take a handful of snow to my mouth
toss another into the air
my blessings upon the inhabitantsque Dios los bendiga y les dé más 
my grandfather would have said
 
I turn my car toward home
to my mother’s house
a place near and far to me
she, my mother, is bedridden
and my brother is the self-appointed caretaker
to bathe and feed her
bring her morsels of conversation
 
it is their own world now
 
ruled by a juxtaposition of understanding
against what I have come to know, now
here, so far and away
I am greeted at her front yard
by an old, propped up trunk hood
proclaiming my brother’s spray-painted inscription
         Jesus Saves 
on the opposite side it reads
         Keep Out! 
 I guess it just depends on what kind of day he’s having, 
someone once remarked
like a rattlesnake
it’s a fair warning
 
years ago I accepted this madness
and called it not my ownit’s better that he be drunk on Christ, said my motherthan on what he used to drink 
 
we all agreed
",Levi Romero,"Activities,Jobs & Working,Relationships,Family & Ancestors,Social Commentaries,Class,Race & Ethnicity"
13,"
                    Indian Mascot, 1959
                ","
Now begins the festival and rivalry of late fall,
the weird debauch and daring debacle
of frat-boy parties as students parade foggy streets in mock
processions, bearing on shoulders scrawny effigies of dead,
defeated Indians cut from trees, where,
in the twilight, they had earlier been hung.
 
""Just dummies,"" laughs our dad, ""Red Indians hung
or burned—it's only in jest."" Every fall
brings the Big Game against Stanford, where
young scholars let off steam before the debacle
they may face of failed exams. ""You're dead
wrong,"" he says to Mom. ""They don't mock
 
real, live Indians."" Around UC campus, mock
lynchings go on. Beneath porches we see hung
the scarecrow Natives with fake long braids, dead
from the merrymaking. On Bancroft Way, one has fallen
indecorously to a lawn, a symbol of the debacle
that happened three generations ago in California's hills, where
 
Native peoples were strung up. (A way of having fun? Where
did they go, those Indian ghosts?) ""Their kids perform mock
war dances, whooping, re-enacting scenes of a debacle
white folks let loose,"" chides Mom. ""Meanwhile we hang
portraits of presidents on school walls and never let fall
the old red, white, and blue. My dear brother is dead
 
because he fought in a White man's war. How many dead
Indians do they need to feel okay? This whole thing wears
on my soul."" In the dark car we go silent, and the fall
night gets chillier. In yards, blazing bonfires mock
the stars that glow palely somewhere above. A thin moon hangs
over the tule fogs. I've never heard the word ""debacle”
 
before and wonder what it means. ""What's a debacle,
Mom? "" I ask. ""Oh, honey, it's a terrible and deadly
collapse. Complete ruin."" I've noticed how the hung
Indians have their heads slumped forward. They wear
old clothes, headbands with feathers, face paint, moc-
casins instead of boots. Little do we know, this fall,
 
living Indians at Feather Falls
leave tobacco to mark that, indeed,
we're still here, lungs full of indigenous air.
",Janice Gould,"Relationships,Family & Ancestors,Social Commentaries,History & Politics,War & Conflict"
14,"
                    Discontent
                ","
We could hear her
knocking down strands of cobweb
from ceilings—sticky filaments,
sacs of eggs—as we woke most mornings
to a worm of discontent.
It lodged beneath the heart,
rubbed our frayed nerves,
gnawed at the gut, spleen,
ovaries. Filth
 
was Mom's first enemy, so each day
began with ritual cleaning: the stab
and sweep of the broom down the dark hall,
over the stained and scratched oak floors.
 
For weeks, she held her dust mop
one-handed, and with the other
cupped a hernia, while she swore
at us kids in that hard voice—a litany of our sins
and failures: sloth,
stupidity, secrecy.
 
We watched her
smash the spiders that ran, herky-jerky,
along the baseboards, while we ran, too.
 
Glaring at each other,
we gathered up the scattered
laundry, our father’s shoes,
his newspapers and tools, our books,
drawings, music, sweatshirts,
and jackets, whatever
we’d left lying around.
 
We were guilty, but good
at evasion. We cultivated
shrewish or obsessive behaviors of our own: my tough
older sister sneered and stalked out of the house
to meet her boyfriend;
my sweet younger sister
trembled and cried, comforted
by one of our many dogs.
I slammed doors, pounded them
with my fists, screamed, “Shut up,
shut up, shut up!” She couldn’t
 
leave us alone. She loved us
too much.
 
Though we were quick, she was
quicker. Her words stung.
 
We must have deserved it.
",Janice Gould,"Living,Parenthood,Youth,Love,Realistic & Complicated,Activities,Indoor Activities,Relationships,Family & Ancestors,Home Life"
15,"
                    Six Sonnets: Crossing the West
                ","
1
Desert heat, high clouds, and sky
the color of lapis. On this journey,
anything seems possible,
so we stop by an ancient cottonwood
to kiss. The beauty trembles,
doesn't say a word, just watches
me, so open. Small birds fly by, flock
in the shady tree above us. What
settles in her heart? What congeals?
Hope? Despair? Far off, the river churns
in its sandy banks, swallows veer, turn
in fiery air. Will these kisses seal
her to me? I her lover, she my wife?
Is all of this a dream, my whole life?
 
2
She is just this side of wonderful,
and suddenly the glamorous world
fills itself with shining and we laugh
at highway monuments that explain
how hard the trek had been for Franciscans
in the Indian wilderness, poor fellows—
conversion is the devil's own
work! Then the stones of her dream
turn up under her feet, the back
of a huge land turtle. I know
we must be circling Paradise
because the ants enter the fleshy petals
of the roadside flowers with evident
joy and purpose (oh, my dark, pretty one).
 
3
Music, my adored. When is there never
music? My accordion puffs up
with drinkable melodies. I spill
her tunes into your listening ear,
one after the other: the squeeze-box
enters the dance of the plaintive gypsy
with its hard rhythms, lilts the back-
breaking labor song the worker croons
to earth, warbles romantic notes of
dissolving borders. You melt
like a woman beneath her lover's touch.
Music is happy and pitiless when
it sets fire to combustible souls. Even
the raspy bandoneon's voice is lyric.
 
4
Sacred. Sacred. Sacred. Sacred. (Speak
in a whisper.) We slip into this
space half cognizant. The land is very
large indeed: bones of the earth
worn down, though she is a living thing.
See how she exposes her grace? Antelopes
graze on the far plain—their high,
white tails—the red soil throbs
its slow heartbeat, and the blue sky
clears so smartly, perfectly, like
radiance. Are the ancestors near?
What can we know? We decide
to wander around this prairie, mistaken
for Utes, buy commodities in little towns.
 
5
Late afternoon we head west along the willow-banked
Malheur after the long curve of the Snake River plain.
(Above the falls where the Shoshone went to pray
we soaked our feet in cold water, and I observed
the arch of her brown foot.) Rabbitbrush and sage
along the highway, juniper on far hills and bluffs.
Sundown, and dusk falls over the wide basin of land.
In Burns we eat eggs in a cafe, take a room
in the Motel 6. In the dark, I can see
her black hair, black against the pillows. Its clean
scent makes me think of corn. At dawn, I hold her
and there are kisses. Then more kisses. Then more.
The day is cold; a north wind blew last night. But
the land is open. Rain falls in showers of light.
 
6
Her hand on my thigh, my shoulder,
in my hair. She leans over to kiss my cheek.
We look at each other, smile. For miles
we travel this way, nearly silent, point
with eyes or chins at the circling hawk, the king-
fisher on the snag above the swollen
creek. One night I weep in her arms
as she cries, ""Oh, oh, oh!"" because I have touched
her scars lightly: throat, belly, breasts.
In that communion of lovers, thick sobs
break from me as I think of my love
back home, all that I have done
and cannot say. This is the first time
I have left her so completely, so alone.
 
",Janice Gould,"Love,Desire,Activities,Travels & Journeys,Relationships,Family & Ancestors,Gay, Lesbian, Queer,Nature,Landscapes & Pastorals,Social Commentaries,History & Politics"
16,"
                    The Holy Twins
                ","
Ours was a play-filled childhood; irrigation ditches ran deep
during the summers. We played in the water and dirt, then inscribed
ABCs and numbers onto the smooth ground. Our cat Polly died
of rabies; then all the pets had to be shot, some in the rib cage
as they thrashed in panic. There was a pink bruise
on my forehead from pressing against the wall. We couldn't figure
 
out how such a thing could happen. The dogs were steadfast figures
around the farm. They chased strange cars and sometimes invoked deep
panic among visitors and passersby. They had cuts and bruises
from scuffles with roaming packs. No tags were inscribed
with their random Navajo names. Snazzy was skinny; his rib cage
obvious through thin fur. He looked as if he might die
 
from hunger, but he ate like nobody's business. Who knew he would die
of rabies with the rest? The main thing was to figure
out how they contracted it, my parents said. We cried until our rib cages
ached; our eyes stayed swollen. This first loss was too deep
to even talk about. Decades later, I can finally describe
how that summer led us into a grief that felt like a bruise
 
that would last forever. But our neighbor suffered worse bruises:
their huge dog, named Dog, was the first to die
and was the cause of all this. Their home and fields are inscribed
in our memories as ""the rabies place."" Over time, they must have figured
it was too much to live down. Childhood losses run deep,
even though we are grandparents now. The memory is an invisible cage
 
of anguished sobs, gunshots, yelping howls, canine rib cages
exploding. Sometimes we reminisce and notice that the bruises
of grief have turned pale like smoothed-over scars. That initial deep
hurt was the start, we found, of how love could die
right before us, even as we watched: stunned figures
pleading for mercy, urgent prayers saying, ""Let God's scribe
 
mark this down. We've paid our dues. Our hearts are inscribed
with loss after loss."" For some reason, after everything, our rib cages
held up and continued to cradle tender hearts. They must have figured
that all the prayers and careful teachings would prevent bruises
that would weaken us. Our love for those homely animals was deep
 
and would figure in the knowledge that such bruises
aren't endless, and that our rib cages are not mere bones. One can die
from grief, so now we can describe loss and love as the Holy Twins.
",Luci Tapahonso,"Living,Death,Sorrow & Grieving,Love,Heartache & Loss,Relationships,Pets"
17,"
                    A Blessing
                ","



For the graduates of the University of Arizona.



This morning we gather in gratitude for all aspects of sacredness:
the air, the warmth of fire, bodies of water, plants, the land,
and all animals and humankind.
We gather to honor our students who have achieved the extraordinary
accomplishment of earning doctoral or master's degrees.
We gather to honor their parents, grandparents, children,
family members, and friends who have traveled with them
on their path to success. They have traveled far distances to be here
this morning: we honor their devotion.
 
May we remember that holiness exists in the ordinary elements of our lives.
 
We are grateful for a homeland that has always thrived
on a glorious array of people and their diverse cultures, histories,
and beliefs. We acknowledge the generosity of the Tohono O'odham
in granting this land on which we learn, teach, celebrate
accomplishments, and sometimes mourn losses.
 
May we always cherish our ancestors as we prepare for the days ahead.
May we remember that we exist because of their prayers and their faith.
 
We are blessed with distinct and melodious tongues.
Our languages are treasures of stories, songs, ceremonies, and memories.
May each of us remember to share our stories with one another,
because it is only through stories that we live full lives.
 
May the words we speak go forth as bright beads
of comfort, joy, humor, and inspiration.
We have faith that the graduates will inspire others
to explore and follow their interests.
 
Today we reflect a rainbow of creation:
Some of us came from the east, where bright crystals of creativity reside.
They are the white streaks of early morning light when all is born again.
We understand that, in Tucson, the Rincon Mountains are our inspiration
for beginning each day. The Rincons are everlasting and always present.
 
Those who came from the south embody the strength of the blue
mountains that encircle us. The Santa Ritas instill in us
the vigorous spirit of youthful learning.
 
Others came from the west; they are imbued with the quiet, yellow glow of dusk.
They help us achieve our goals. Here in the middle of the valley, the ts'aa',
the basket of life, the Tucson Mountains teach us to value our families.
 
The ones from the north bring the deep, restorative powers of night's darkness;
their presence renews us. The Santa Catalina Mountains teach us that,
though the past may be fraught with sorrow, it was strengthened
by the prayers of our forebearers.
We witnessed the recent fires the mountains suffered,
and in their recovery we see ourselves on our own journeys.
We understand that we are surrounded by mountains, dziił,
and thus that we are made of strength, dziił, nihí níhídziił.
We are strong ourselves. We are surrounded by mountains
that help us negotiate our daily lives.
 
May we always recognize the multitude of gifts that surround us.
May our homes, schools, and communities be filled with the wisdom
and optimism that reflect a generous spirit.
 
We are grateful for all blessings, seen and unseen.
 
May we fulfill the lives envisioned for us at our birth. May we realize
that our actions affect all people and the earth. May we live in the way
of beauty and help others in need. May we always remember that
we were created as people who believe in one another. We are grateful,
Holy Ones, for the graduates, as they will strengthen our future.
 
All is beautiful again.
Hózhǫ́ nááhasdłíí’.
Hózhǫ́ nááhasdłíí’.
Hózhǫ́ nááhasdłíí’.
Hózhǫ́ nááhasdłíí’.
",Luci Tapahonso,"Living,Coming of Age,Activities,School & Learning,Relationships,Family & Ancestors,Nature,Landscapes & Pastorals,Graduation"
18,"
                    Elegy for My Younger Sister
                ","



For Marilynn



 Nihideezhí, it was a moist June afternoon when we buried you.
The Oak Springs Valley was dense with sage, cedar, and chamisa;
and gray, green, and brown shrubs cradled the small cemetery.
The sky was huge overhead.
Your son said later, ""Did you see the sky? It was purple.
I knew it would rain,"" he said.
 
The dark Carrizo Mountains were so clear.
 
There were so many people, Sister.
Many of your friends whom we didn't know,
and your former schoolmates whom we remembered as children,
and Sister, we met many relatives for the first time.
 
We cried, not wanting to leave you in that serene place.
We hesitated, though our father, his parents, and their parents
are buried there. Our older sisters thought ahead to bring flowers for them.
They huddled quietly over their graves a few feet away.
 
Shideezhí, remember how red the sand is?
The men—your sons, our nephews, grandsons, and various in-laws—
took turns filling your grave. Their necks and arms were streaked
with dusty sweat. They kept their heads down;
their faces were damp and eyes, swollen.
 
We had to get it all out; we cried
and held each other. My granddaughters hovered near me
as if I might faint or fall unexpectedly.
 
Did you see, Sister, the way the grandchildren fed and served everyone?
They guided the grandparents and the elderly to their chairs.
Once seated, they served plates filled with mutton ribs,
potato salad, corn, thick slabs of oven bread, crispy fry bread,
and Jell-O salad. They placed the salt and pepper—that enduring couple—
before us and implored us to eat. The two delights we relished were good—
hot, strong coffee and cold, crisp diet pop.
 
We ate for you; we consumed your meal, Shideezhí.
We ate to honor the times you cooked for us—
those tasty dishes, scrumptious pastries combined with laughter,
silly childhood memories, and always teasing jokes.
Sister, I didn't know how we would make it;
it is still too much to think of you not being here.
",Luci Tapahonso,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors"
19,"
                    On a Day, In the World
                ","
           We had a grief
we didn't understand while
           standing at the edge of
   some low scrub hills as if
humans were extra
   or already gone;—
 
what had been in us before?
          a life that asks for mostly
    wanting freedom to get things done
in order to feel less
          helpless about the end
of things alone—;
 
when i think of time on earth,
   i feel the angle of gray minutes
          entering the medium days
    yet not ""built-up"":: our
work together: groups, the willing
    burden of an old belief,
 
           & beyond them love, as of
    a great life going like fast
creatures peeling back marked
    seeds, gold-brown integuments
    the color time
  will be when we are gone—
",Brenda Hillman,"Living,Death,Sorrow & Grieving,Time & Brevity"
20,"
                    Angrily Standing Outside in the Wind
                ","
   —kept losing self control 
    but how could one lose the self
 after reading so much literary theory?
The shorter ""i"" stood under the cork trees,
     the taller ""I"" remained rather passive;
 the brendas were angry at the greed, angry
that the trees would die, had lost interest
 in the posturing of the privileged,
 
   the gaps between can't & won't...
   Stood outside the gate of permissible
       sound & the wind came soughing 
through the doubt debris(soughing comes from swāgh—to resound...
echo actually comes from this also—)
  we thought of old Hegel across
the sea—the Weltgeist—& clouds
 
went by like the bones of a Kleenex...
        it's too late for countries
but it's not too late for trees...
  & the wind kept soughing  with its sound sash, wind with
        its sound sash,    increasing
bold wind with its sound sash,
            increasing bold—
",Brenda Hillman,"Nature,Trees & Flowers,Social Commentaries,History & Politics"
21,"
                    Extra Hidden Life, among the Days
                ","
         Sometimes  ,  when i'm
            very tired  ,    i think
 of extremophiles    ,   chemolithoautotrophs
       & others with     power for changing
    not-life into lives  ,    of those that eat rock
& fire in volcanoes   ,     before the death
 of the world but after   the death of a human
                              ,    of their taste
for ammonia or iron  ,     sulfur & carbon
                             ,   somehow
 enough of it to go on ...     As workers
          taste revolt       ,   they grow
at the vents of oceans   ,     turning mute vapor
into respiration            ,   changing unhinged
   matter to hinges        ,  near the rims of sea
trenches or the caves     ...     Our friend wrote
    of writers living              in gray hiding,
                            ,     of those who love glass
    & early freedom   ,    steep sand
  & late freedom       ,     sex among gentle
     or bitter grasses     ,   those with a taste for
 blue or belligerence   ,   obscure lives, she
called them               ,   the writers
    of radical mind     …
The living prefer life    ,  mostly they do
                         ,   they are ravenous
                         ,    making shapes in groups
    as the dying grow     one thought
          until the end ,   wanting more
              specifics   ,   desert or delay 
          until the i        drops away into          i am not here ,   the mineral other
pumps & vast vapors  ,    ridges & shadows beyond
            the single life it had not thought of—
",Brenda Hillman,"Living,Death,Time & Brevity,Nature,Animals,Seas, Rivers, & Streams"
22,"
                    Start This Record Over
                ","
Perhaps is a new and sudden way of being.
 
Like satisfaction not yet begun or some other kind
of kindness:
 
a more gentle one?
 
Night makes us all into the middle
of something until we aren't
 
anything anymore. The sky
isn't any color here. It's OK
because consolation is color enough
 
for your cheeks, wind bitten and glorified
by the light of the wine in this glass draining
 
toward a better time, a better space. I invented
a notion of hell, and you invented a notion of hello.
 
Amazing similarities and bizarrely coincidental snow
 
Like a twig falling from an oak's tallest point,
 
I keep wondering when forgiveness
found its way into this world
 
in a time before bargaining and beckoning.
 
It's quiet again and now the sky is a tangled
mess of rags seeking out the bored and unwilling.
 
I'd like to make a map not of the land
but of the path I took to arrive in this place,
 
a map with no idealized purpose,
a map of a thousand airless pines.
",Adam Clay,"Living,The Mind,Nature,Fall,Weather,Arts & Sciences,Language & Linguistics"
