,Title,Poem,Poet,Tags
11,"
                    To the Oppressors
                ","
Now you are strong
And we are but grapes aching with ripeness.
Crush us!
Squeeze from us all the brave life
Contained in these full skins.
But ours is a subtle strength
Potent with centuries of yearning,
Of being kegged and shut away
In dark forgotten places.
 
We shall endure
To steal your senses
In that lonely twilight
Of your winter’s grief.
",Pauli Murray,"Relationships,Friends & Enemies,Social Commentaries,History & Politics,Race & Ethnicity,War & Conflict"
12,"
                    Harlem Riot, 1943
                ","
Not by hammering the furious word,
Nor bread stamped in the streets,
Nor milk emptied in gutter,
Shall we gain the gates of the city.
 
But I am a prophet without eyes to see;
I do not know how we shall gain the gates
                  of the city.August, 1943
 
",Pauli Murray,"Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity,War & Conflict"
13,"
                    Words
                ","
We are spendthrifts with words,
We squander them,
Toss them like pennies in the air–
Arrogant words,
Angry words,
Cruel words,
Comradely words,
Shy words tiptoeing from mouth to ear.
 
But the slowly wrought words of love
and the thunderous words of heartbreak–
Those we hoard.
 
",Pauli Murray,"Arts & Sciences,Language & Linguistics"
14,"
                    Three Days with the Long Moon
                ","
That field nag, old-penny
swayback. Low hawk, to
ducks in train to a quad of geese,
in case. Last night, the long
 
moon lay it seemed a tissue
of snow, but then dawn told
that wasn't so. Late morning, now,
the fire, the hearth, eggs
 
sitting for the mute plate
and fork, this pen making
a thing of them. Two more nights—
waterfowl safe and noisy
 
in the dusk, the low rails
running flank to the river
at midnight—find what they'll
make of that river, this moon.
 
",Adrian Koesters,
15,,,,
16,,,,
17,"
                    The Ruts
                ","
       Most have been plowed up or paved over
but you can still find them, tracks cut
      deep into the earth by prairie schooners
crossing that great green ocean, pitching
      waves of pasture out where there's nothing
else to do but live. Concealing their detritus—
      a piece of sun-bleached buffalo skull, a button
from a cavalry soldier's coat—the ruts wind
      their way beneath leafy suburban streets, lie
buried under a Phillips 66 and the corner
      of a Pizza Hut where a couple sits slumped
in their booth. Yet here and there, like a fish
      head breaking the surface of the water, they
emerge in a school teacher's back yard or a
      farmer's field, evidence of wagons packed
with hardtack and hard money, thousands of
      draft animals tended by traders with blistered
feet, their journey both bleak and romantic.
      That's the kind of proof I like, a scar I can put
my hand to, history that will dust my fingers
      with a little bit of suffering, a little bit of bone.
",Kim Lozano,
18,"
                    Talking About the Day
                ","
Each night after reading three books to my two children—
we each picked one—to unwind them into dreamland,
I'd turn off the light and sit between their beds
in the wide junk-shop rocker I'd reupholstered blue,
still feeling the close-reading warmth of their bodies beside me,
and ask them to talk about the day—we did this,we did that, sometimes leading somewhere, sometimes
not, but always ending up at the happy ending of now.Now, in still darkness, listening to their breath slow and ease
into sleep's regular rhythm.
                                            Grown now, you might've guessed.
The past tense solid, unyielding, against the acidic drip
of recent years. But how it calmed us then, rewinding
the gentle loop, and in the trusting darkness, pressing play.
",Jim Daniels,
19,,,,
20,"
                    Discipline Park
                ","



St. Joseph’s Hospital, Tacoma WA, 1969-74.



A headache makes your mouth plunge, then it pulls away. The smell of diesel or the smell of rain. Now you are a thick suburb. Under the pressure of a credit card. Your body is a box of mirrors, a mercury mine. You have blossomed and spread, white mystery of spring. All your blood and treasure is spent. O rose, you are sick. The morning rain does not nourish you. Your mouth is caught in a rigid O. Where only deficit is at home. You stand beneath a white hospital, almost drunk. You cannot say why your sense is drenched: exhaustion or debt. What’s the difference again? A braid of eyes. Curtains the color of a dove’s wing. Ceramic lips framed against seismic shatter. “Soft zone.” Meanwhile your uncle is dying in San Francisco and you do not know it. You are standing in front of another hospital whose patients are strangers. You unwind a rope of carbon so that you can post pictures of it on the internet. How much damage does your life do and how can you refuse? O rose, you are sick. Only injury sustains you.
",Toby Altman,"Living,Health & Illness,The Body,Nature,Trees & Flowers,Social Commentaries,Money & Economics"
21,"
                    For Charlie
                ","
as the early morning light reflected off leaves against my window I called you to say I was moving back and I cried so deeply the way I cried for weeks after I moved losing my breath hovering between waking and sleep on the day I left I stood on your balcony facing the Pacific Ocean watching the sea stretch past a gauze of power lines into a green horizon this summer I began to awaken with my body covered in a cold sweat a whippoorwill calling from beyond the ramshackle fence kept me calm through the darkness and earlier this spring my dear friend Charlie had mysteriously died and like so many secrets we shared he loved to tan turning a tone the color of a young Toni Tennille he loved to dance he loved to pray every night I lie and recite the Act of Contrition to settle my head I am sorry for my sins with all my heart in choosing to do wrong and failing to do good I have sinned against you whom I should love above all things and almost every night I’ve dreamt of Charlie reading by candlelight he is old his skin sags like the arms of a tulip tree how easy it is to listen to his voice I cradle my chin into his neck our beards brush together now as you answer the phone I hear the discordant steam of cargo ships murmur in the distance there is no reason to lie to you I have been dying since we met
",Ruben Quesada,
22,"
                    A Feeling Right Before the Feeling
                ","
At sunrise the deer eat
pieces of the quiet, they eat spaces
between the quiet
    & the sounds—;
         & the numbers on the calendar
lie flat in their boxes,
      they leak through tiny holes
             in the minutes,
            evenly so, so evenly,
 an active sense, before
         the sense was made…
 
There, now, opposite to set down,
            the agreed-upon, the shape
                 of the obvious
        drawn by an earlier
           enchantment before the new
                        anxiety set in:
         the workers are safe;
 the terror stilled for an hour;
a lover’s outline, dreamed or imagined,
       before you read the one-page book
     again, what was that book,
 it had no copyright—
 
& what was before?
         a life, the dazzler, the dark,
             the singing dust, it turned
when you turned, it orpheus-knew
what you forgot when you took the bowl
        of burning time across the room—
      & if the previous is closer
   to you now, should you
look, doesn’t matter if you do,
    you carry the some of it
with it, out into it—
 
                                                for LG 
 
",Brenda Hillman,
23,"
                    Phantom
                ","
She says she had a baby
but I don’t believe her
Let me tell you the feeling
of relief when I started to believe her
baby wasn’t real
“What’s she getting out of it?”
I surrender without a fight
Ok, you can have your baby
 
Sometimes all you can do is reify your worst fears
What if I can’t have healthy relationships
Ever
With anything
Even your cat
 
Undressing in the open window
Like being in public
Is it not knowing or not caring?
 
I’m offended reading memoir advertised as essay
I give a mini-lecture on insecure attachment
from the living room
As if to ask
Is that what you wanted?
Who you think I am
Improving my senses
You see I was siding with the baby
",Ali Power,"Living,Parenthood,The Mind"
24,"
                    mom and dad in a photo
                ","
a tiny blue metal race car grandma
gave to me when I was 32.  There’s
an obelisk now in Skeleton Canyon.
Maybe you’re too close to the speaker.
Tell the Arthur Lee of Love confrontation
story. The tender does not approve of our
vulgarity. Double vocal for airports,
weekends and holidays. Numb grids
that represent human inaction. An incidental
arrival? Why that landing? The speaker of
the poem seems baffled to be in his/her
time continuum. Blind Willie McTell, Blind
Willie Johnson, playing together on the street corner.
Turn down the harp and make it feel more
distant. The next few minutes could hardly
be identified as words. A few fireman later,
the benefit of a lifelong love was clear. A locus
Of abnormal sensation. Harder to keep an
indiscriminate man from slaughter. Off state
extemporaneous crushed weight. Consulting
the at-bats for ideas of speed. I will be home
when my shirt is too dirty to wear.
",Edmund Berrigan,"Relationships,Family & Ancestors,Arts & Sciences,Language & Linguistics,Poetry & Poets"
25,"
                    Creation Myth
                ","
Born again on a Monday
under a broken zodiac.
 
My father the woodman, a surgeon among snags,
could read the living trail of blades rebounding
in the field, the mopped-matte passage through the dew.
 
He woke a brush pile with fire
throwing shadows on the child, I was
thrown over.
 
Father, it was a pleasure to meet you
on this luminous route between two lives.
 
In this impromptu pool reaped from rain
where mosquitos multiply.
 
Though survival, I’m told, is impersonal
and without teleological purpose.
Malaria is just trying to maximize its own fitness
 
as are the corporations who, for palm oil set
the peatlands ablaze and drained the water table.
 
 
Dense haze from the sea
     choked the light from day
 
           suffused our mountain
in a numinous red corona.
And as for the getting over
 
there will be no ascension,
no circumambulation,
there is only going through.
 
We must go through it.
",Lisa Wells,"Relationships,Family & Ancestors,Nature,Landscapes & Pastorals,Social Commentaries,Money & Economics"
26,"
                    Love Calls Us
                ","



The soul descends once more in bitter love…
                                                                          —Richard Wilbur
 



The eyes
open to the cries
of police.
 
Skirting sleep,
the soul
industrial
 
as laundry—
realities
like bad checks,
 
burning
like new sex.
Dinner
 
is the better half
of someone’s
lunch. Someone’s
 
playing
a guessing
game:
 
Psychosis
or Handsfree.
Local fame.
 
Praying
to a calf,
or debt ceiling,
 
keeps
us grounded.                                                                                      
You can take
 
the kid
out the food court,
but child support
won’t upgrade
from buy
to buy—
 
outbid,
I am my
financial aide.
 
Astounded,
we wake
and take.
 
Let every boy
Tolstoy
with disease
 
have a chance.
Liabilities,
let’s dance.
 
We’re clean—
or rather, not
unclean—
 
doxycycline
our balance
sheet.
 
Our spirits, neat.
 
",Randall Mann,"Living,Health & Illness,Love,Social Commentaries,History & Politics,Money & Economics"
27,"
                    The Invention of the Saxophone
                ","
It was Adolphe Sax, remember,
not Saxo Grammaticus, who gets the ovation.
And by the time he had brought all the components
together–the serpentine shape, the single reed,
the fit of the fingers,
the upward tilt of the golden bell–
it was already 1842, and one gets the feeling
that it was also very late at night.
 
There is something nocturnal about the sound,
something literally horny,
as some may have noticed on that historic date
when the first odd notes wobbled out of his studio
into the small, darkened town,
 
summoning the insomniacs (who were up
waiting for the invention of jazz) to their windows,
but leaving the sleepers undisturbed,
evening deepening and warming the waters of their dreams.
 
For this is not the valved instrument of waking,
more the smoky voice of longing and loss,
the porpoise cry of the subconscious.
No one would ever think of blowing reveille
on a tenor without irony.
The men would only lie in their metal bunks,
fingers twined behind their heads,
afloat on pools of memory and desire.
 
And when the time has come to rouse the dead,
you will not see Gabriel clipping an alto
around his numinous neck.
 
An angel playing the world’s last song
on a glistening saxophone might be enough
to lift them back into the light of earth,
but really no further.
 
Once resurrected, they would only lie down
in the long cemetery grass
or lean alone against a lugubrious yew
and let the music do the ascending–
curling snakes charmed from their baskets–
while they wait for the shrill trumpet solo,
that will blow them all to kingdom come.
 
",Billy Collins,"Religion,The Spiritual,Arts & Sciences,Music"
28,"
                    [The earth shakes]
                ","
The earth shakes
just enough
to remind us. 
",Steve Sanfield,"Nature,Stars, Planets, Heavens"
29,"
                    Kitsilano (1963-69)
                ","



For Judy Williams Fraser 



1963-69 I lived on
the corner of Yew & York
on the 2nd floor
above  a corner store
with my sister Leni  & boyfriend soon to be husband Neap  Hoover
her friend Jo-Ann Huffman & her boyfriend Mike Sawyer
then  Elsa Young  (just left Robert who was with Maxine)
who met her lover Jack Wise next door
then my sister Mary
and my boyfriend  soon to be (later to unbe) husband Cliff Andstein
below us
bill bissett & martina & oolya  then painter-jogger  Gordon Payne
& Merrilyn  (who becomes my friend later)  then bill again then Gordon again
next to us
Bing Thom, Jay Bancroft & often Marian Penner, Rick Clarke
across the landing
John and Susan Newlove & children fathered by gerry gilbert
later the Ridgeways
and next to them directly opposite us:
Gerry Geisler (New Design Gallery)
and Helen Sturdy & children
our kitchen faced theirs
apple pies in my oven & stew or toast in theirs
we cd smell everything like the time we fell asleep as pork hocks
simmered in my big red pot
charred and burned almost caught on fire
would have if Gerry hadnt woken us up
and that building a total tinderbox
always worried bill wd start one
my bedroom / study faced
the Molson’s sign and Burrard Street Bridge
and I could watch the west end and highrises and planetarium grow
and white sheets on a clothesline across the street dry
as I’d sit at my bay window
and write and mark
on a smooth board cut to fit exactly the sill
I’d glance up and see
people like  you  &  Jamie  &  Carol  &  Joan  &  Marcia  & the Trumans
and the Gadds  and the Lathams  and Lanny Beckman
walking up and down Yew Street
open the window & shout
drop by on your way back
dropping by
everybody did it
days filled with coffee, tea, poetry, cigarette smoke
crises, trips, talkedy talk talk
painting hard edged  strong coloured
also  intricate silver point mandalas
and collages
a gallon of Calogna Red
one summery Saturday night
became a party
of 100 or even more
dancing in my bedroom to one music on a tape recorder
dancing in the other to another
drumming in the kitchen
talking in the room with the blue-tile fireplace
so many bodies I couldnt hear the music
from  inside the  hallway
just saw the taller heads
moving together to different beats
in almost darkness
that crazy night at the Wahs’ place
if that wasnt a party of this kind
everybody landing on that bed
everybody kissing everybody
we had to go outside to pee
because the lineup for the can so long
somehow to do with that small space
that it was so tight that everybody had to rub every
body simply to go anywhere
It was gorgeous
after the Vancouver Poetry Conference (1963)
Roy Kiyooka started
dropping by   when he left his studio
there’d always be a light on
somewhere in our building
and he could visit  any of us
separately or clustered
one time
he told me he had a painting he wanted to give me
but it was big and heavy
he borrowed a truck and someone helped him
up the dusty always dirty long stairs
with Hoarfrost
which we hung on a wall in a room just big enough to hold
my round oak table
(used to be Bowerings’ they bought a whole household of furniture for $80 and
when they moved they gave it to Joan and then when she moved she stored it
with me)
a wall that later Elsa and I tore apart with a screwdriver and hammer
shouting angry hexes at Robert all the way
after and during that conference--
Olson, Creeley, Duncan, Levertov, Avison, Whalen, Ginsberg--
Roy and I became friends
and there were readings in my room
every second Sunday
red cast iron pot full of bean soup, corn chowder, spicey meatball vegetable stew
simmering and then cheese scones in the oven
people would come and read their new work one week
and the next week there’d be a Tish meeting
with Daphne Marlatt, Dan MacLeod, Pete Auxier, David Cull & David Dawson
rent $60 a month didnt change
and some years it was cold
the wind so cold on side facing the North Shore
that Hydro was $60 per month
and that wall frozen behind my pillows
the police were something else
they felt they had a right to question anybody so
Cliff would be up at the laundromat on 4th or
at Jackson’s to get some hamburger and be walking back with an
economics book in one hand and meat wrapped in brown paper in the other
and they’d stop him and ask him what he was doing and my friend Ray Wargo
would get stopped almost every second time he’d drop in to visit
where are you going and why and how long will you be
someone was always getting busted
someone was always tripping out
someone was always visiting from   or going to  Europe or Japan
here is a journal entry on June 9:
evening of the first ever national leaders debate on TV
“I am looking forward to seeing Trudeau--hope he gets pushed into/onto
answering more directly than he has in the past. I, like many others including
every gay man I know, do have a crush on him: he has much more style than
any Canadian politician so far. I mean style in the true sense of the word, it is
him, not affected… Cliff, of course, doesn’t trust him at all and thinks he’s a sell-
out. I don’t go that far, yet. But I do think that compromising is the only way a
politician can work this country and I do not like all the PR, razzmatazz,
fundraising, and allegiances that go into just getting elected: our system seems
to be based on gullibility…”
coming home at night up Yew Street
whether from downtown or the beach or Paul the butcher’s or Elsie the baker’s
I loved looking up at my North-facing windows
goldy  gold  mesh curtains
light filtering through
so warm  and so inviting
 
",G. Maria Hindmarch,"Relationships,Friends & Enemies,Arts & Sciences,Poetry & Poets,Social Commentaries,Cities & Urban Life"
30,"
                    I Make Promises Before I Dream
                ","
No unclaimed, cremated mothers this year
 
Nor collateral white skin
 
No mothers folding clothes to a corporate park preamble
No sons singing under the bright lights of a lumber yard
 
Quantum reaganomics and the tap steps of turning on a friend
 
New York trophy parts among
            the limbs of decent people
 
                       Being an enraged artist is like
                       entering a room and not knowing what to get high off of
 
                                                      My formative symbols/My upbringing flying to an agent’s ears
                                                                                                          I might as well be an activist
 
                                                                                                 Called my girlfriend and described
                                                                All the bottles segregationists had thrown at me that day
 
                                                                   Described recent blues sites and soothing prosecutions
                                                                                                                     I feared for my poetry
 
You have to make art every once in a while
            While in the company of sell-outs
            Accountant books in deified bulk
            Or while waiting for a girl under a modern chandelier
                                               
                                                           Or in your last lobby as a wanderer
 
                                                                                                  The prison foot-races the museum
 
                                                                                                                        My instrument ends
 
                        I mean, what is a calendar to the slave?
                                               Also, what is a crystal prism?
 
                                                                                                                    “He bought this bullet,                                                                                                                                                             bought its flight,                                                                                                                                                       then bought two more”
 
 
",Tongo Eisen-Martin,"Arts & Sciences,Poetry & Poets,Social Commentaries,Money & Economics,Race & Ethnicity"
31,"
                    Fault Whispers
                ","
    “A skeleton’s mouth makes few concessions to prettiness.”
                                                                             —Jacques Joubert
Because your mouth is violet and you cannot speak
Because maybe I like Thursdays the way I used to hate baths, and
baths are boundaries whose sharpness will be blurred with more information
Because movement itself is a form of currency
Frozen in articulations
Because don’t indulge yourself in the idea of restraint
The blackened patches could have been pubic hair on dead bodies, or simply
the wildness of neglect
without horizons or spaces
Because it’s a comfort to know waste is the fuel of contradictions
a knife rusted before its first use
Because in the barest of rooms, nothing is comprehensible
Neither fanatic nor mystic
Because the first weeks of September came and went and the weather held
Not woven by innocent hands
Because this stasis is preparation
Because you’re deceased, maimed or in Philadelphia 
 
",Mark Tardi,"Living,Death,The Mind"
32,"
                    The Short Answer
                ","
I am forced to sleepwalk much of the time.
We hold on to these old ways, are troubled
sometimes and then the geyser goes away,
time gutted. In and of itself there is
no great roar, force pitted against force that
makes up in time what it loses in speed.
The waterfalls, the canyon, a royal I-told-you-so
comes back to greet us at the beginning.
How was your trip? Oh I didn’t last
you see, folded over like the margin
of a dream of the thing-in-itself. Well, and
what have we come to? A paper-thin past,
just so, and ‘tis pity. We regurgitate
old anthems and what has come to pass, and why
dwell on these. Why make things more difficult
than they already are? Because if it’s boring
in a different way, that’ll be interesting too.
That’s what I say.
 
That rascal, he jumped over the fence.
I’m wiping my pince-nez now. Did you ever hear from
the one who said he’d be back once it was over,
who eluded me even in my sleep? That was a particularly
promising time, we thought. Now the sun’s out
and it’s raining again. Just like a day from
the compendium. I’ll vouch for you,
and we can go on scrolling as though nothing had risen,
the horizon forest looks back at us. The preacher
shook his head, the evangelist balanced two spools
at the end of his little makeshift rope. We’d gone too far.
We’d have to come back in a day or so.
",John Ashbery,"Living,The Mind,Time & Brevity"
33,"
                    Pushing Up Onto Its Elbows, the Fable Lifts Itself Into Fact.
                ","



after Tafisha Edwards



To disappear Black girls at a low volume of sustained public panic is to insinuate the inconstancy of Black girls. The disposability of Black girls who are prone to disappearance. A body bag somewhere waits with little hoopla about its lot. Absence becomes the lot of Black girls.
 
_________ will eventually accept as fact that absence becomes a lot of Black girls. In what becomes the normal day-to-day, Black girls are harder to find, _________ would think first, not that there are few attempts to find them. The question isn’t whether Black girls often go missing. If no one else, Black girls miss each other.
 
_________  would be remiss to not recognize how everything is made less in the absence of Black girls, if _________ could miss what _________ have never been required to recognize, such as:
 
Unlike missing Black girls, taking Black girls is a Western custom. It seems likely that such a statement will soon appear inaccurate: the white space in new textbook editions will have nothing to say about it, if the white spaces behind those textbooks have anything to say about it. That Black girls are quintessential American palimpsests is not a question but an anxiety. _________ would rather forget that Black girls were made receptacles for what the authors of Liberty and Independence would not speak. That Liberty and Independence were imaginable only in the absent-presence of taken Black girls, enslaved Black girls, Black girls on whom a foundational economic system so depended that white men would kill each other and take taken Black girls.
 
The constancy of Black girls is someone’s anxiety. The soil is thick with hidden Black girls, the myth that only quiet Black girls are worthwhile Black girls. The soil turns as _________  turn away from loud Black girls and their cacophonic insistence on Black girls.
 
_________ have not insisted enough upon the fact of Black girls, are often loudly shocked to find Black girls disappeared. Loud, unsustainable shock has a way of disappearing Black girls. Outrage, too, has a way of being disappeared.
",Justin Phillip Reed,"Living,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Crime & Punishment,History & Politics,Race & Ethnicity"
34,"
                    On Being a Grid One Might Go Off Of
                ","
The first step is to stop just beyond the weight of organs.
The sense of gravity sitting in tissue is like the space between
carcass and curb, before the reek worms into rock pores:
a sleeplessness there, that continual niche-trash. You too
 
once knew what it was to feel impressive. As the bed dissolves
into the walls, the walls disrobe themselves of their edges
and your resolve is now acute in the locking jaw of darkness.
Beg to be let. You, like bravery, leave behind the breath-inflated
 
lump, its depths, and its refusal to lace the cells of scars over even
the metaphorical guttings. To manage the act exceeds the box-
and-whisker of lately’s along-going. You’ve grown so accustomed
to mereness that what you call a life no longer houses the sublime.
 
It seems easy to leave. It seems this easy to leave. After
a second you’ll want to consider the centimeters of resistance
stitching air between here and all of elsewhere. But, still,
inhabit the bodiless second. To possess it is a bearable joy.
",Justin Phillip Reed,"Living,Death,Life Choices,The Body,The Mind"
